ID,Rationale / Explanation,,,,
AR_15,"Blocks unauthorized third-party data lacking proper consent/licensing. Schema enforcement with cryptographic signatures ensures only properly authorized data enters your systems.

Check:
• API boundary enforces schema validation
• Cryptographic signatures required on consents/licenses
• Automatic rejection of unsigned payloads
• Third-party data pre-validated

Ask: Engineering/Legal team",,,,AR_15
AR_16,"Creates tamper-proof audit trail of all dataset modifications. Append-only logs prevent anyone—including admins—from hiding changes to training data after the fact.

Check:
• Distributed ledger or append-only log implemented
• All manual changes recorded immutably
• Logs cannot be edited or deleted
• Timestamps and user IDs captured

Ask: Data Engineering/Security team",,,,AR_16
AR_17,"Prevents prompt injection attacks by separating system instructions from user input at the token level. Ensures users cannot override system prompts with malicious instructions.

Check:
• System and user tokens technically separated
• Separation enforced, not just logical
• Detection of system prompt injection attempts
• Token-level classification implemented

Ask: AI Security/Engineering team",,,,AR_17
AR_18,"Detects and blocks jailbreak attempts where users try to bypass safety filters. Common jailbreak patterns include ""ignore previous instructions"" or encoded attack prompts.

Check:
• Automated jailbreak detection deployed
• Known jailbreak patterns blocked
• Intent classification identifies bypass attempts
• Regular updates to jailbreak signatures

Ask: AI Security team",,,,AR_18
AR_19,"Provides graceful failure when AI systems timeout or malfunction. Instead of showing errors to users, system returns safe, pre-written responses maintaining user experience.

Check:
• Circuit breakers configured for LLM failures
• Canned responses prepared for common failures
• User sees safe fallback, not error messages
• Timeout thresholds defined

Ask: Engineering/DevOps team",,,,AR_19
AR_20,"Prevents sensitive data leakage in real-time AI outputs. Token-by-token inspection catches PII, secrets, or confidential data before it reaches users.

Check:
• DLP proxy intercepts LLM output streams
• Token-level scanning for sensitive patterns
• Real-time blocking of sensitive data
• SSNs, API keys, credit cards detected

Ask: Security/DLP team",,,,AR_20
AR_21,"Protects PII by redacting locally without sending to third-party APIs. Using local NER models ensures sensitive data never leaves your environment during cleaning.

Check:
• NER models hosted on-premises or in private cloud
• PII redaction happens before external transmission
• No sensitive data sent to third-party APIs
• Local processing verified

Common mistake: Using external APIs for PII detection, exposing data during the cleaning process.

Ask: Data Privacy/Engineering team",,,,AR_21
AR_22,"Defines response plan when sensitive data bypasses filters. Even best filters aren't 100% perfect—having automated mitigation for breaches is critical.

Check:
• Automated incident response for filter bypasses
• Data breach notification procedures
• Immediate containment actions defined
• Post-incident analysis process

Ask: Security/Incident Response team",,,,AR_22
AR_23,"Prevents user data from being executed as code by the model. Control plane (commands) and data plane (user content) separation ensures malicious inputs can't trigger unintended model behaviors.

Check:
• Network-level separation enforced
• User data cannot reach control plane
• Strict API boundaries between planes
• Architecture diagrams show separation

Ask: Engineering/Security team",,,,AR_23
AR_24,"Removes hidden attacks in RAG documents before AI processing. Invisible Unicode characters or steganographic instructions can manipulate AI behavior without visible text changes.

Check:
• Content sanitization before context window insertion
• Unicode normalization applied
• Steganographic pattern detection
• All retrieved documents processed

Common mistake: Trusting document content from trusted sources without sanitization.

Ask: AI Security team",,,,AR_24
AR_25,"Tracks detection accuracy and defines response actions. Knowing false positive/negative rates helps tune detection systems and ensures appropriate responses when threats are detected.

Check:
• False positive/negative rates documented
• Regular metrics updates
• Clear action plans for detection hits
• Escalation procedures defined

Ask: Security Operations team",,,,AR_25
AR_26,"Adapts to evolving attack patterns instead of relying on static rules. Unsupervised learning detects novel poisoning attempts that static rules would miss.

Check:
• Unsupervised learning calibrates thresholds
• Dynamic baseline adjustments
• Detection of slow-burn coordinated attacks
• Regular recalibration performed

Common mistake: Using only static thresholds that attackers can learn to evade.

Ask: Data Science/Security team",,,,AR_26
AR_27,"Protects privacy by removing PII before it reaches AI systems. Pre-ingestion buffer automatically redacts sensitive data, preventing it from being stored or processed.

Check:
• Automatic PII redaction before storage
• SSN, credit card, email masking
• Prompt data minimized before RAG ingestion
• Privacy buffer in architecture

Ask: Data Privacy/Engineering team",,,,AR_27
AR_28,"Isolates web scraping to prevent malware from reaching corporate networks. Disposable sandbox ensures any malicious payload dies when sandbox is destroyed.

Check:
• Web scraping in isolated sandbox
• Ephemeral/disposable environment used
• No network path to corporate intranet
• Sandbox destroyed after each scrape

Ask: Security/Infrastructure team",,,,AR_28
AR_29,"Prevents employees from pasting sensitive data into public AI tools. DLP agents intercept and block classified code or financial data from being sent to ChatGPT, Claude, etc.

Check:
• DLP agents on endpoints configured
• Blocking of classified data to AI interfaces
• Real-time interception of paste operations
• Alerts when blocking occurs

Ask: Security/IT Operations team",,,,AR_29
AR_30,"Ensures training data integrity through immutability and audit trails. Quarantine, WORM storage, and transparent logging prevent data tampering or unauthorized modifications.

Check:
• Schema violations trigger automatic quarantine
• WORM storage for gold-standard datasets
• Immutable audit trails of all changes
• Pipeline modifications logged

Ask: Data Engineering/Governance team",,,,AR_30
AR_31,"Prevents runaway AI costs from infinite loops or unexpected behavior. Automated shutdowns protect budget when agents consume excessive tokens or enter recursive patterns.

Check:
• Token velocity monitoring in real-time
• Cost-per-resolution tracking
• Auto-termination on anomalies
• Circuit breakers for recursive loops

Ask: Engineering/FinOps team",,,,AR_31
AR_32,"Protects model weights from compromised infrastructure. TEEs process encrypted models in isolated memory, preventing even hypervisor-level attacks from accessing weights.

Check:
• Trusted Execution Environments deployed
• Model weights encrypted in memory
• Protection from compromised hypervisor
• Intel SGX, AMD SEV, or similar used

Ask: Infrastructure/Security team",,,,AR_32
AR_33,"Enforces data residency requirements by preventing cross-border replication. Hard geofencing ensures AI data stays within legal jurisdiction, critical for GDPR, data sovereignty laws.

Check:
• Geographic replication blocked at infrastructure level
• Data residency rules enforced
• Cross-border transfers prevented
• Jurisdiction boundaries hard-coded

Ask: Infrastructure/Compliance team",,,,AR_33
AR_34,"Ensures data remains encrypted until authorized users request it. HYOK/CMK with identity-based decryption means stolen data is useless without proper authentication.

Check:
• Customer-managed encryption keys (CMK)
• Identity-based decryption enforced
• Keys remain under customer control
• Decryption only on verified access

Ask: Security/Infrastructure team",,,,AR_34
AR_35,"Prevents ransomware and admin compromise from deleting training data. Object Lock mathematically guarantees immutability—even admins can't delete until retention expires.

Check:
• AWS S3 Object Lock or equivalent enabled
• Retention policies at bucket level
• Immutability enforced, not optional
• Protection against compromised credentials

Ask: Cloud Infrastructure team",,,,AR_35
AR_36,"Protects vector databases from reconstruction attacks. Logical isolation and PIR technology prevent attackers from inferring original data through similarity queries.

Check:
• Vector database isolated from public APIs
• Private Information Retrieval implemented
• Inference-based attacks mitigated
• Network segmentation enforced

Ask: AI Security/Infrastructure team",,,,AR_36
AR_37,"Prevents data leakage between training and test sets. Separate transformations and entropy monitoring ensure test data doesn't contaminate training, and crucial information isn't lost.

Check:
• Training/test transformations strictly separated
• Information entropy monitored
• No data leakage between sets
• Compression doesn't strip critical nuances

Ask: Data Science/ML Engineering team",,,,AR_37
AR_38,"Prevents SMOTE from creating unrealistic synthetic minorities. Strict auditing ensures over-sampling doesn't introduce hallucinated data that misrepresents underrepresented groups.

Check:
• SMOTE usage audited for accuracy
• Synthetic samples validated against real data
• Hallucination detection for minority classes
• Regular quality reviews

Ask: Data Science team",,,,AR_38
AR_39,"Tests whether embeddings can leak original PII. Mathematical reversibility testing ensures transformed data can't be reverse-engineered to reconstruct sensitive information.

Check:
• Embedding reversibility testing performed
• PII reconstruction attempts blocked
• Mathematical proofs of irreversibility
• Regular testing for new embedding methods

Ask: Data Science/Security team",,,,AR_39
AR_40,"Distinguishes real data from imputed guesses. Boolean flags tell the model which values are actual measurements vs. filled-in missing data, preventing false confidence.

Check:
• Imputation flags appended to feature vectors
• Model can distinguish empirical vs. imputed
• Attention mechanism informed of data quality
• All NULL imputations tracked

Ask: Data Science team",,,,AR_40
AR_41,"Ensures identical pipeline runs produce identical results. Deterministic reproducibility is critical for audits, debugging, and proving model compliance.

Check:
• Deterministic ETL processes enforced
• Same inputs always produce same outputs
• Mathematical reproducibility verified
• Pipeline version control maintained

Ask: Data Engineering team",,,,AR_41
AR_42,"Removes adversarial noise designed to manipulate models. Input sanitization strips hidden characters or patterns that could trigger attacks or bypass filters.

Check:
• Hidden character stripping implemented
• Adversarial noise detection
• Input normalization before processing
• Pattern-based attack filtering

Ask: AI Security team",,,,AR_42
AR_43,"Verifies embeddings preserve original data meaning. Mutual Information scores mathematically prove vectorization didn't lose critical structural information.

Check:
• Automated MI score calculation
• Verification that meaning preserved
• Structural information loss detection
• Regular embedding quality checks

Ask: Data Science team",,,,AR_43
AR_44,"Proves which context was used for specific AI responses. Immutable RAG logs enable audits showing exactly what information the AI accessed during inference.

Check:
• RAG context injection logged immutably
• Logs cannot be altered after creation
• Specific inference events traceable
• Regulatory audit capability

Ask: Engineering/Compliance team",,,,AR_44
AR_45,"Detects schema changes instantly instead of overnight. Real-time Kafka streaming ensures data catalog stays current with immediate notifications of structural changes.

Check:
• Kafka or similar event bus integrated
• Real-time schema change notifications
• No reliance on batch scans
• Instant propagation to catalog

Ask: Data Engineering team",,,,AR_45
AR_46,"Automatically adjusts access when data sensitivity changes. Dynamic IAM ensures access is immediately revoked if datasets are reclassified to higher sensitivity tiers.

Check:
• IAM policies tied to metadata tags
• Auto-revocation on reclassification
• Real-time access adjustments
• No manual permission updates needed

Ask: IAM/Data Governance team",,,,AR_46
AR_47,"Assigns human accountability for AI data quality. Stewards with mandatory review ensure high-risk models only ingest quality-validated data, preventing garbage-in-garbage-out.

Check:
• Every AI dataset has assigned steward
• Mandatory human review for quality exceptions
• Mature data quality governance practices
• Exception approval before high-risk ingestion

Ask: Data Governance team",,,,AR_47
AR_48,"Discovers hidden PII and tracks synthetic data automatically. Automated scanning finds shadow PII humans might miss and flags when knowledge becomes outdated.

Check:
• Automated PII discovery scanning
• Shadow PII detection beyond obvious fields
• Synthetic/imputed values tagged
• Stale metadata flagged on schema changes

Ask: Data Governance/Privacy team",,,,AR_48
AR_49,"Enforces data usage restrictions across all systems. Embedded policies like ""Do not use for credit scoring"" stay with data and are programmatically enforced, not just documented.

Check:
• Usage policies in metadata, not separate docs
• Policies persist across cloud systems
• Programmatic enforcement, not manual
• Automatic blocking of policy violations

Ask: Data Governance/Engineering team",,,,AR_49
AR_50,"Prevents alert fatigue from outdated baselines. Rolling baselines adapt to normal changes, reducing false positives while detecting genuine drift.

Check:
• Dynamic rolling baselines vs. static
• Continuous calibration of drift detection
• Alert fatigue mitigation
• Baseline updates match business changes

Ask: ML Operations/Data Science team",,,,AR_50
AR_51,"Enables rapid legal hold on training data. Automated e-Discovery capability can instantly freeze and extract relevant data subsets when litigation begins.

Check:
• Automated legal hold capability exists
• Training data subset extraction possible
• Freeze mechanisms in place
• Compliance with e-Discovery requirements

Ask: Legal/IT team",,,,AR_51
AR_52,"Prevents model collapse from synthetic data loops. Quality gates ensure AI-generated data doesn't accidentally become training input, causing recursive degradation.

Check:
• Quality gates prevent synthetic loops
• AI-generated data tagged and tracked
• Automatic blocking of synthetic training data
• Loop detection mechanisms

Ask: Data Engineering/ML team",,,,AR_52
AR_53,"Quarantines bad data until human approval. Cryptographic locks prevent anomalous data from reaching training pipelines without documented human sign-off.

Check:
• Automatic routing to quarantine queue
• Cryptographic locks on quarantined data
• Human sign-off required for release
• Audit trail of approval decisions

Ask: Data Engineering/Governance team",,,,AR_53
AR_54,"Evaluates access based on current context and risk, not static roles. Zero Trust with metadata filtering prevents inappropriate data access and cross-tenant leakage.

Check:
• Dynamic access evaluation vs. static roles
• User intent and risk assessed continuously
• Metadata filtering enforces boundaries
• Cross-tenant retrieval prevented

Ask: IAM/Security team",,,,AR_54
AR_55,"Tests data pipeline robustness against edge cases. Adversarial perturbations verify cleaning logic handles unusual inputs without breaking or introducing bias.

Check:
• Adversarial inputs in testing framework
• Edge case robustness verified
• Pipeline tested against perturbations
• Mathematical robustness proven

Ask: Data Engineering/QA team",,,,AR_55
AR_56,"Enforces data tags at OS/hypervisor level. MAC ensures tags persist regardless of application bugs or compromises, providing defense-in-depth.

Check:
• Mandatory Access Control at OS level
• Tags enforced below application layer
• Hypervisor-level enforcement
• Application bypasses prevented

Ask: Infrastructure/Security team",,,,AR_56
AR_57,"Creates encryption keys only when needed, for specific API calls. Ephemeral KMS keys tied to OAuth tokens minimize exposure window if credentials leak.

Check:
• Keys minted only per API call
• OAuth token mapping to encryption keys
• Ephemeral keys auto-expire
• No long-lived encryption keys

Ask: Security/Infrastructure team",,,,AR_57
AR_58,"Redacts PII before AI agents see database rows. Active DLP proxy automatically masks sensitive fields, preventing agents from ingesting raw PII.

Check:
• DLP/masking proxy in query path
• Automatic PII redaction before agent access
• Real-time masking, not post-processing
• Database queries routed through proxy

Ask: Security/Data Privacy team",,,,AR_58
AR_59,"Exhausts botnet resources through cryptographic challenges. Proof-of-Work or client attestation makes automated scraping computationally expensive, protecting API endpoints.

Check:
• Cryptographic PoW challenges at API edge
• Client attestation required
• Botnet resource exhaustion design
• Rate limiting augmented with crypto challenges

Ask: Security/Infrastructure team",,,,AR_59
AR_60,"Blocks indirect prompt injections from external sources. Prompt firewall inspects RAG-retrieved content and web search results for malicious instructions before model processing.

Check:
• Prompt firewall/inspection proxy deployed
• External content inspected before model
• Indirect injection detection
• RAG and web search content validated

Ask: AI Security team",,,,AR_60
AR_61,"Limits blast radius of compromised tokens. Minute-expiry with geographic restrictions ensures stolen tokens are useless quickly and from wrong locations.

Check:
• Token expiration measured in minutes
• Geographic/IP restrictions enforced
• Clean termination even during long tasks
• Automatic token rotation

Ask: Security/Engineering team",,,,AR_61
AR_62,"Prevents exploitation of deprecated API parameters. Schema validation automatically rejects requests attempting to use undocumented or old endpoint parameters.

Check:
• API gateway enforces schema validation
• Automatic rejection of invalid requests
• Deprecated parameters blocked
• Schema versioning enforced

Ask: API/Security team",,,,AR_62
AR_63,"Monitors and blocks unauthorized data transfers. Comprehensive DLP prevents models from exfiltrating massive datasets or pulling more data than requested.

Check:
• DLP on AI inputs and outputs
• Egress data inspection active
• Massive transfer blocking
• Row-count validation (requested vs. pulled)

Ask: Security/DLP team",,,,AR_63
AR_64,"Routes anomalous inputs to humans instead of risking hallucinations. Safe degradation ensures questionable inputs get human review rather than unreliable AI responses.

Check:
• Automated HITL queue routing on drift
• Safe degradation protocol defined
• Anomalous inputs flagged for review
• Hallucination prevention priority

Ask: ML Operations/Engineering team",,,,AR_64
AR_65,"Traces hallucinations back to root cause data issues. Automated RCA scripts map problematic outputs to specific poisoned or degraded data nodes enabling rapid fixes.

Check:
• Automated RCA capability deployed
• Hallucination-to-data mapping
• Immediate root cause identification
• Poisoned node detection

Ask: Data Engineering/ML Operations team",,,,AR_65
AR_66,"Prevents infinite reasoning loops in multi-agent systems. Graph-cycle detection identifies and halts agents stuck in circular logic patterns.

Check:
• Deterministic cycle detection implemented
• Multi-agent chain monitoring
• Automatic loop termination
• Graph analysis of reasoning patterns

Ask: AI Engineering team",,,,AR_66
AR_67,"Prevents AI from using outdated business data. TTL flags ensure embeddings automatically expire, preventing the model from reasoning on functionally deprecated information.

Check:
• TTL expiry flags in embeddings
• Automatic expiration of old data
• Deprecated data unretrievable
• Temporal validity enforced

Ask: Data Engineering/ML team",,,,AR_67
AR_68,"Ensures AI actions match user intent. Semantic monitoring validates agent actions (sending emails, executing transactions) strictly align with original requests and policy boundaries.

Check:
• Intent-action matching validation
• Original request vs. action comparison
• Policy envelope enforcement
• Autonomous action boundaries defined

Ask: AI Security/Governance team",,,,AR_68
AR_69,"Detects bias introduction from pipeline updates. Hourly automated testing with gold standard suite ensures changes don't create new fairness issues.

Check:
• Automated bias test suite exists
• Hourly execution frequency
• Gold standard test cases maintained
• Pipeline update validation

Ask: ML Operations/Data Science team",,,,AR_69
AR_70,"Provides unified visibility across all systems. Integration into central observability platform (OpenTelemetry) prevents monitoring silos and enables correlation with other infrastructure.

Check:
• AI monitoring in central dashboard
• OpenTelemetry or similar integration
• No siloed monitoring tools
• Cross-system correlation enabled

Ask: DevOps/SRE team",,,,AR_70
AR_71,"Protects against hardware side-channel attacks. Mitigations prevent GATEBLEED and similar attacks that leak training data through power consumption patterns.

Check:
• Hardware mitigations for side-channels
• GATEBLEED protections deployed
• Power-gating attack prevention
• GPU/TPU security features enabled

Ask: Infrastructure/Security team",,,,AR_71
AR_72,"Ensures adequate serving capacity for production use. Most AI value comes from inference, not training—allocating 75%+ for serving ensures models can actually be used.

Check:
• Compute budget allocation reviewed
• Over 75% allocated to inference
• Production serving capacity adequate
• Training vs. serving balance maintained

Ask: FinOps/Infrastructure team",,,,AR_72
AR_73,"Enables rapid failover during GPU shortages. Alternative cluster or on-prem hardware access in under 48 hours prevents extended outages during supply constraints.

Check:
• Alternative GPU cluster identified
• Sub-48-hour failover capability tested
• On-premises hardware option exists
• Switching procedures documented

Ask: Infrastructure/BCDR team",,,,AR_73
AR_74,"Prevents training data leakage via power analysis. Hardware-level mitigations stop side-channel attacks that extract data by monitoring power fluctuations.

Check:
• Hardware-level side-channel mitigations
• Power fluctuation attack prevention
• Physical security for training infrastructure
• Monitoring for anomalous power patterns

Ask: Infrastructure/Security team",,,,AR_74
AR_75,"Maximizes GPU utilization through sharing. Dynamic partitioning allows multiple small tasks to share one GPU instead of wasting resources with full-GPU-per-job allocation.

Check:
• GPU sharing/partitioning enabled
• Dynamic allocation vs. static
• Multi-tenant GPU usage
• Utilization metrics tracked

Ask: Infrastructure/FinOps team",,,,AR_75
AR_76,"Prevents compromised firmware from running on GPUs. Cryptographic signature verification on every boot ensures only authorized firmware executes.

Check:
• Firmware signature verification at boot
• Cryptographic validation implemented
• Unauthorized firmware rejected
• Boot-time security checks

Ask: Infrastructure/Security team",,,,AR_76
AR_77,"Prevents runaway costs from unlimited tool use. Hard step limits cap the number of tool invocations per agent session, protecting budget and preventing infinite loops.

Check:
• Maximum step boundaries in system prompts
• Hard limits vs. soft warnings
• Per-session tool invocation caps
• Cost protection enforced

Ask: Engineering/FinOps team",,,,AR_77
AR_78,"Optimizes for different workload requirements. Separate architectures for inference (low latency) and training (high throughput) maximize efficiency for each use case.

Check:
• Separate inference and training architectures
• Inference optimized for latency
• Training optimized for throughput
• Architecture matches workload needs

Ask: Infrastructure/ML Engineering team",,,,AR_78
AR_79,"Accelerates data movement with direct GPU access. RDMA bypasses CPU bottlenecks, moving data directly from storage to GPU memory for faster processing.

Check:
• RDMA implementation for GPU data transfers
• CPU bypass configured
• Direct storage-to-GPU paths
• Network infrastructure supports RDMA

Ask: Infrastructure/Network team",,,,AR_79
AR_80,"Enables fast checkpoint ingestion without training disruption. Sub-60-second loading of terabyte checkpoints allows rapid recovery or experimentation without cluster pauses.

Check:
• Checkpoint ingestion under 60 seconds
• No training cluster pauses required
• Storage bandwidth adequate for terabytes
• Parallel loading capability

Ask: Infrastructure/ML Engineering team",,,,AR_80
AR_81,"Enables independent scaling of storage capacity and performance to optimize costs and flexibility. Disaggregated storage architecture allows you to add petabytes of capacity without paying for additional compute IOPS you don't need, or boost performance without buying unnecessary storage. This is critical for AI workloads where data volume and processing needs often scale at different rates—your training dataset might grow 10x while compute requirements remain stable, or vice versa. Traditional coupled architectures force you to overprovision and waste money on resources you'll never use.

Check:
• Storage capacity scales independently from compute
• IOPS performance adjustable without storage changes
• Cost optimization through separate scaling
• Architecture supports petabyte-scale growth

Ask: Infrastructure/Storage team",,,,AR_81
AR_82,"Enables secure data sharing across AI teams without costly duplication or data silos. Data Mesh architecture allows different AI domains (marketing, finance, operations) to query shared datasets with version control, lineage tracking, and access controls—all without physically copying terabytes of data into each team's environment. This prevents the common problem where each team maintains separate copies of customer data, creating synchronization nightmares, storage waste, and compliance risks. Federated queries with proper governance mean one authoritative data source serves all AI initiatives.

Check:
• Federated domains can query shared datasets
• No physical data duplication required
• Dataset versioning and lineage tracked
• Cross-domain access controls enforced

Ask: Data Architecture/Engineering team",,,,AR_82
AR_83,"Prevents catastrophic cloud bills from data exfiltration or misconfigurations. Automated egress termination acts as a financial circuit breaker—if outbound data transfer costs suddenly spike (which could indicate a breach, misconfigured job, or ransomware exfiltrating data), the system instantly cuts network egress to prevent runaway charges. Without this, organizations have woken up to six-figure surprise bills from compromised systems transferring petabytes out of the cloud. This is both a security control and a cost-protection mechanism.

Check:
• Billing alerts configured for egress costs
• Automatic network egress termination on spikes
• Anomaly thresholds defined and tested
• Alert-to-action automation in place

Common mistake: Having alerts but no automated response, requiring manual intervention that may come too late.

Ask: FinOps/Cloud Infrastructure team",,,,AR_83
AR_84,"Optimizes storage performance and costs through intelligent tiering. NVMe-over-Fabrics provides ultra-fast access to active training data (low latency, high IOPS), while automated tiering moves completed models and archived datasets to cheap cold storage. This prevents paying premium NVMe prices for data you rarely access. Think of it like keeping today's work on your desk (NVMe-oF) and filing completed projects in the basement (object storage)—you need both, but shouldn't pay desk-space prices for everything.

Check:
• NVMe-oF deployed for hot training data
• Automated tiering to cold storage configured
• Tiering policies based on access patterns
• Cost savings from tiering measured

Ask: Infrastructure/Storage team",,,,AR_84
AR_85,"Minimizes network latency in distributed training by reducing physical distance between nodes. Distributed AI training requires constant synchronization between GPUs—placing nodes physically close together on the same rack or network segment dramatically reduces communication time, speeding up training and preventing stragglers. Poor placement can make a 10-node training job run slower than 5 optimally-placed nodes. Automatic placement by interconnect distance ensures your orchestrator always chooses the fastest configuration.

Check:
• Orchestrator considers physical interconnect distance
• Automatic node placement for distributed jobs
• Network topology awareness in scheduling
• Training speed improvements measurable

Ask: Infrastructure/ML Platform team",,,,AR_85
AR_86,"Prevents resource exhaustion and security violations through automated policy enforcement. Admission controllers act as gatekeepers—blocking any AI container that lacks proper resource limits (preventing one job from starving others) or required security tags (preventing unvetted code from running). Without this, a single poorly-configured job can consume all cluster resources, or malicious code can deploy without security review. This is your last line of defense before workloads hit production infrastructure.

Check:
• Kyverno, OPA, or similar admission controller deployed
• Resource limit requirements enforced
• Security tag validation configured
• Non-compliant pods automatically blocked

Common mistake: Relying on developer discipline instead of automated enforcement.

Ask: Kubernetes/Platform Engineering team",,,,AR_86
AR_87,"Eliminates configuration drift and security risks from manual changes by treating infrastructure as immutable. Like a factory-sealed product, production AI nodes cannot be modified after deployment—no SSH access, no console logins, no ""quick fixes."" Every change requires rebuilding the entire node from version-controlled code, creating a perfect audit trail and ensuring all nodes are identical. Manual access is the #1 cause of production incidents (""I just changed one setting..."") and creates security vulnerabilities that attackers exploit. Immutable infrastructure makes these attacks impossible.

Check:
• No SSH or console access to production nodes
• All changes through code deployment only
• Infrastructure rebuilt rather than modified
• Manual access technically prevented, not just policy

Ask: DevOps/Platform Engineering team",,,,AR_87
AR_88,"Protects sensitive data being processed on shared cloud infrastructure that you don't fully control. TEEs create hardware-enforced encrypted enclaves where your data is processed—even the cloud provider's hypervisor or administrators cannot view it. This is critical for HIPAA, financial data, or trade secrets on shared GPUs where other tenants' workloads run on the same physical hardware. Without TEEs, you're trusting the cloud provider's security and policies. With TEEs, it's mathematically guaranteed through hardware isolation—trust is replaced with cryptographic proof.

Check:
• Trusted Execution Environments implemented
• Hardware-level data-in-use encryption
• Shared GPU infrastructure isolated
• Intel SGX, AMD SEV, or ARM TrustZone used

Ask: Infrastructure/Security team",,,,AR_88
