COMPLIANCE MAPPING DB  —  ISO/IEC 42001:2023 | NIST AI RMF 1.0 | OWASP LLM Top 10 | EU AI Act 2024  |  122 questions × 4 frameworks,,,,,,,,,,,,,,
QID Code,Component Group,Question,Severity,"Max Risk
Score /100","Risk
Count","Compliance
Priority","ISO 42001
Clauses (Short)","NIST RMF
Functions (Short)","OWASP
References (Short)","EU AI Act
Articles (Short)","ISO/IEC 42001:2023
(Full Reference)","NIST AI RMF 1.0
(Full Reference)","OWASP LLM Top 10
(Full Reference)","EU AI Act 2024
(Full Reference)"
AR_61,Tools & API Integrations,"Does your rate limiting logic enforce ""Global"" quotas while maintaining ""Per-Identity"" fairness?",Medium,5.19,2,🟡 Medium,Clause 6.1.2 | Annex A.9.3,MEASURE 2.7 | GOVERN 1.2,LLM04 - Model Denial of Service,Art. 9 (Risk management system) | Art. 15 (Robustness and availability),"ISO/IEC 42001:2023 Clause 6.1.2 (risk assessment), Annex A.9.3 (access control fairness)","NIST AI RMF 1.0 MEASURE 2.7 (AI resilience), GOVERN 1.2 (fairness policies for AI use)",OWASP LLM Top 10: LLM04 - Model Denial of Service (resource quota management),"EU AI Act Art. 9 (Risk management system), Art. 15 (Robustness and availability)"
AR_62,Tools & API Integrations,"Does your gateway dynamically adjust rate limits based on the ""Token Cost"" of different models?",Medium,7.28,2,🟡 Medium,Clause 8.4 | Annex A.6.1,MEASURE 2.7 | MAP 2.3,LLM04 - Model Denial of Service,Art. 9 (Risk management) | Art. 15 (Accuracy and resilience requirements),"ISO/IEC 42001:2023 Clause 8.4 (AI operational management), Annex A.6.1 (performance monitoring)","NIST AI RMF 1.0 MEASURE 2.7 (AI system resilience), MAP 2.3 (AI system resource impacts)",OWASP LLM Top 10: LLM04 - Model Denial of Service (cost-aware resource throttling),"EU AI Act Art. 9 (Risk management), Art. 15 (Accuracy and resilience requirements)"
AR_63,Data Processing,How does the automated ingestion system verify that you have the legal rights or user consent to use this specific data for AI processing?,Medium,7.28,2,🟡 Medium,Annex A.7.2 | Annex A.10.1,GOVERN 1.4 | MAP 1.6,LLM03 - Supply Chain Vulnerabilities,Art. 10 (Data governance requirements) | Art. 17 (Quality management system - data consent),"ISO/IEC 42001:2023 Annex A.7.2 (Data acquisition and use), Annex A.10.1 (Privacy in AI systems)","NIST AI RMF 1.0 GOVERN 1.4 (organizational AI policies), MAP 1.6 (AI data provenance and consent)",OWASP LLM Top 10: LLM03 - Supply Chain Vulnerabilities (data licensing and consent tracking),"EU AI Act Art. 10 (Data governance requirements), Art. 17 (Quality management system - data consent)"
AR_64,Data Processing,Can the system provide a cryptographically verifiable 'birth certificate' for every data point used in the final model weights?,Medium,7.28,2,🟡 Medium,Annex A.7.3 | Annex A.7.5,MEASURE 2.3 | MANAGE 4.2,LLM03 - Supply Chain Vulnerabilities,Art. 12 (Record-keeping for high-risk AI) | Art. 10 (Data governance and provenance),"ISO/IEC 42001:2023 Annex A.7.3 (Data quality for AI), Annex A.7.5 (Data provenance)","NIST AI RMF 1.0 MEASURE 2.3 (AI data lineage and traceability), MANAGE 4.2 (AI system documentation)",OWASP LLM Top 10: LLM03 - Supply Chain Vulnerabilities (training data provenance),"EU AI Act Art. 12 (Record-keeping for high-risk AI), Art. 10 (Data governance and provenance)"
AR_65,Data Processing,"For datasets sourced from 3rd parties or open-source (e.g., Hugging Face), do you  automated checks verify the license metadata and Terms of Service alignment to prevent legal ""poisoning""?",Medium,7.65,2,🟡 Medium,Annex A.5.2 | Annex A.7.2,GOVERN 6.1 | MAP 5.1,LLM03 - Supply Chain Vulnerabilities,Art. 10 (Data governance) | Art. 53 (General-purpose AI model obligations - copyright),"ISO/IEC 42001:2023 Annex A.5.2 (AI supply chain), Annex A.7.2 (Data acquisition governance)","NIST AI RMF 1.0 GOVERN 6.1 (third-party AI data risk), MAP 5.1 (AI supply chain risk assessment)",OWASP LLM Top 10: LLM03 - Supply Chain Vulnerabilities (dataset license compliance),"EU AI Act Art. 10 (Data governance), Art. 53 (General-purpose AI model obligations - copyright)"
AR_66,Data Processing,Is there a transparent 'audit trail' of every automated and manual modification made to the raw data before it became a feature?,Medium,7.65,2,🟡 Medium,Clause 9.1 | Annex A.7.5,MEASURE 2.3 | MANAGE 4.2,LLM03 - Supply Chain Vulnerabilities,Art. 12 (Record-keeping obligations) | Art. 18 (Documentation keeping for high-risk AI),"ISO/IEC 42001:2023 Clause 9.1 (Monitoring and evaluation), Annex A.7.5 (Data provenance and audit)","NIST AI RMF 1.0 MEASURE 2.3 (AI system auditability), MANAGE 4.2 (documentation and traceability)",OWASP LLM Top 10: LLM03 - Supply Chain Vulnerabilities (data pipeline integrity and audit),"EU AI Act Art. 12 (Record-keeping obligations), Art. 18 (Documentation keeping for high-risk AI)"
AR_67,Guardrails / Safety,does the system architecture enforce a logical separation between 'System Instructions' and 'User-Provided Data' to prevent instruction overriding?,Critical,15.94,2,🔴 Immediate,Clause 8.4 | Annex A.8.2,MEASURE 2.5 | MAP 2.1,LLM01 - Prompt Injection,Art. 9 (Risk management system) | Art. 15 (Robustness and cybersecurity),"ISO/IEC 42001:2023 Clause 8.4 (AI system design controls), Annex A.8.2 (AI system integrity)","NIST AI RMF 1.0 MEASURE 2.5 (AI robustness to adversarial inputs), MAP 2.1 (AI system design risks)",OWASP LLM Top 10: LLM01 - Prompt Injection (instruction/data separation at token level),"EU AI Act Art. 9 (Risk management system), Art. 15 (Robustness and cybersecurity)"
AR_68,Guardrails / Safety,Do u have any automated mechanisms are in place to classify and block user intent that specifically targets 'Jailbreaking' or safety-filter bypass?,Critical,15.94,2,🔴 Immediate,Annex A.8.2 | Clause 8.4,MEASURE 2.5 | MANAGE 2.2,LLM01 - Prompt Injection | LLM07 - Insecure Plugin Design,Art. 9 (Risk management) | Art. 15 (Cybersecurity and adversarial robustness),"ISO/IEC 42001:2023 Annex A.8.2 (AI system integrity), Clause 8.4 (AI operational security)","NIST AI RMF 1.0 MEASURE 2.5 (adversarial robustness testing), MANAGE 2.2 (AI threat response)","OWASP LLM Top 10: LLM01 - Prompt Injection, LLM07 - Insecure Plugin Design (jailbreak detection)","EU AI Act Art. 9 (Risk management), Art. 15 (Cybersecurity and adversarial robustness)"
AR_69,Guardrails / Safety,"Do u consider ""Safe Failure"" protocol if a bouncer is bypassed?",Critical,12.13,2,🔴 Immediate,Annex A.8.4 | Clause 6.1.2,MEASURE 2.6 | MANAGE 2.4,LLM01 - Prompt Injection,Art. 9 (Risk management - fail-safe requirements) | Art. 15 (Robustness requirements),"ISO/IEC 42001:2023 Annex A.8.4 (AI system fail-safe mechanisms), Clause 6.1.2 (residual risk)","NIST AI RMF 1.0 MEASURE 2.6 (AI system safe failure), MANAGE 2.4 (AI incident containment)",OWASP LLM Top 10: LLM01 - Prompt Injection (defence-in-depth and fail-safe design),"EU AI Act Art. 9 (Risk management - fail-safe requirements), Art. 15 (Robustness requirements)"
AR_70,Guardrails / Safety,How is the AI system’s input monitored for sensitive data exfiltration?,High,10.2,2,🟠 High,Annex A.9.2 | Annex A.10.1,MEASURE 2.10 | MEASURE 2.4,LLM06 - Sensitive Information Disclosure,Art. 9 (Risk management) | Art. 12 (Logging and monitoring for high-risk AI),"ISO/IEC 42001:2023 Annex A.9.2 (AI system monitoring), Annex A.10.1 (Privacy protection)","NIST AI RMF 1.0 MEASURE 2.10 (AI system monitoring for anomalies), MEASURE 2.4 (privacy risk evaluation)",OWASP LLM Top 10: LLM06 - Sensitive Information Disclosure (input-level exfiltration monitoring),"EU AI Act Art. 9 (Risk management), Art. 12 (Logging and monitoring for high-risk AI)"
AR_71,Prompt Engineering,"Do u apply any ""Data Minimization"" are applied to the user's prompt?",High,9.7,2,🟠 High,Annex A.10.1 | Annex A.7.2,MAP 1.6 | MEASURE 2.4,LLM06 - Sensitive Information Disclosure,Art. 10 (Data governance - minimisation) | Art. 5(1) | Art. 10,"ISO/IEC 42001:2023 Annex A.10.1 (Privacy by design in AI), Annex A.7.2 (Data minimisation principle)","NIST AI RMF 1.0 MAP 1.6 (privacy risk identification), MEASURE 2.4 (privacy impact assessment)",OWASP LLM Top 10: LLM06 - Sensitive Information Disclosure (data minimisation in prompt handling),"EU AI Act Art. 10 (Data governance - minimisation), GDPR Art. 5(1)(c) incorporated by reference in Art. 10"
AR_72,Guardrails / Safety,"How do we handle ""Residual Risk"" if a piece of sensitive data bypasses the filter?",Medium,7.65,2,🟡 Medium,Clause 6.1.2 | Annex A.10.2,MANAGE 4.1 | MANAGE 2.2,LLM06 - Sensitive Information Disclosure,Art. 9 (Risk management - residual risk) | Art. 17 (Quality management and incident handling),"ISO/IEC 42001:2023 Clause 6.1.2 (residual risk treatment), Annex A.10.2 (Incident response for AI privacy)","NIST AI RMF 1.0 MANAGE 4.1 (residual risk management), MANAGE 2.2 (AI incident response)",OWASP LLM Top 10: LLM06 - Sensitive Information Disclosure (residual risk containment strategy),"EU AI Act Art. 9 (Risk management - residual risk), Art. 17 (Quality management and incident handling)"
AR_73,Prompt Engineering,does your system technically distinguish between 'Trusted Developer Instructions' and 'Untrusted User Input' at the token level?,Critical,15.94,2,🔴 Immediate,Clause 8.4 | Annex A.8.2,MEASURE 2.5 | MAP 2.1,LLM01 - Prompt Injection,Art. 9 (Risk management system) | Art. 15 (Robustness and cybersecurity),"ISO/IEC 42001:2023 Clause 8.4 (AI system security by design), Annex A.8.2 (System integrity controls)","NIST AI RMF 1.0 MEASURE 2.5 (AI adversarial robustness), MAP 2.1 (AI system design evaluation)",OWASP LLM Top 10: LLM01 - Prompt Injection (trusted vs untrusted channel separation),"EU AI Act Art. 9 (Risk management system), Art. 15 (Robustness and cybersecurity)"
AR_74,Retrieval (RAG),"do your detectors handle instructions that aren't entered by the user, but are retrieved from external sources like RAG databases or web searches?",Critical,16.76,2,🔴 Immediate,Annex A.6.2 | Annex A.8.2,MEASURE 2.5 | MAP 5.1,LLM01 - Prompt Injection,Art. 9 (Risk management) | Art. 15 (Cybersecurity - indirect attack vectors),"ISO/IEC 42001:2023 Annex A.6.2 (AI data governance - external data), Annex A.8.2 (System integrity)","NIST AI RMF 1.0 MEASURE 2.5 (indirect adversarial input robustness), MAP 5.1 (supply chain threats)",OWASP LLM Top 10: LLM01 - Prompt Injection (indirect injection via retrieved content),"EU AI Act Art. 9 (Risk management), Art. 15 (Cybersecurity - indirect attack vectors)"
AR_75,Guardrails / Safety,"are the documented False Positive/Negative rates for your detector, and how does the system behave when a detection 'hit' occurs?",High,9.23,2,🟠 High,Clause 9.1 | Annex A.8.2,MEASURE 2.5 | MEASURE 2.7,LLM01 - Prompt Injection,Art. 9 (Risk management - testing and validation) | Art. 15 (Accuracy requirements),"ISO/IEC 42001:2023 Clause 9.1 (Performance monitoring and evaluation), Annex A.8.2 (System integrity metrics)","NIST AI RMF 1.0 MEASURE 2.5 (AI detection accuracy), MEASURE 2.7 (AI system performance metrics)",OWASP LLM Top 10: LLM01 - Prompt Injection (detector performance benchmarking),"EU AI Act Art. 9 (Risk management - testing and validation), Art. 15 (Accuracy requirements)"
AR_76,LLM / Model Layer,"Do you use automated statistical monitoring to detect and block ""outlier"" data batches that could purposefully bias or ""poison"" your model?",High,9.7,2,🟠 High,Annex A.7.3 | Clause 8.4,MEASURE 2.5 | MAP 3.5,LLM03 - Supply Chain Vulnerabilities | LLM04 - Data and Model Poisoning,Art. 10 (Data governance - quality criteria) | Art. 15 (Robustness against data manipulation),"ISO/IEC 42001:2023 Annex A.7.3 (Data quality assurance), Clause 8.4 (AI operational controls)","NIST AI RMF 1.0 MEASURE 2.5 (AI data robustness), MAP 3.5 (AI data poisoning risk identification)","OWASP LLM Top 10: LLM03 - Supply Chain Vulnerabilities, LLM04 - Data and Model Poisoning","EU AI Act Art. 10 (Data governance - quality criteria), Art. 15 (Robustness against data manipulation)"
AR_77,Data Processing,"Is there a ""Privacy Buffer"" that automatically redacts PII (Sensitive Info) before it reaches your primary AI storage or RAG system?",High,9.23,2,🟠 High,Annex A.10.1 | Annex A.7.2,MAP 1.6 | MEASURE 2.4,LLM06 - Sensitive Information Disclosure,Art. 10 (Data governance - personal data minimisation) | Art. 9 (Risk management),"ISO/IEC 42001:2023 Annex A.10.1 (Privacy protection in AI), Annex A.7.2 (Data acquisition controls)","NIST AI RMF 1.0 MAP 1.6 (privacy risk), MEASURE 2.4 (privacy impact evaluation)",OWASP LLM Top 10: LLM06 - Sensitive Information Disclosure (PII redaction at ingestion),"EU AI Act Art. 10 (Data governance - personal data minimisation), Art. 9 (Risk management)"
AR_78,Retrieval (RAG),"If you use AI Agents to fetch data, do you have an inspection proxy to ensure they aren't ingesting ""Indirect Prompt Injections"" from the web?",Critical,16.76,2,🔴 Immediate,Annex A.6.2 | Annex A.5.2,MEASURE 2.5 | MAP 5.1,LLM01 - Prompt Injection,Art. 9 (Risk management) | Art. 15 (Cybersecurity for AI agent interactions),"ISO/IEC 42001:2023 Annex A.6.2 (AI data governance), Annex A.5.2 (AI supply chain security)","NIST AI RMF 1.0 MEASURE 2.5 (AI adversarial robustness), MAP 5.1 (third-party AI data threats)",OWASP LLM Top 10: LLM01 - Prompt Injection (indirect injection via agent-fetched data),"EU AI Act Art. 9 (Risk management), Art. 15 (Cybersecurity for AI agent interactions)"
AR_79,Data Processing,"Do you have visibility into ""secondary"" ingestion (e.g., employees uploading proprietary PDFs or code to unsanctioned AI tools)?",High,11.28,2,🟠 High,Annex A.7.2 | Annex A.5.2,GOVERN 6.1 | MAP 1.1,LLM10 - Model Theft,Art. 9 (Risk management) | Art. 10 (Data governance for training data),"ISO/IEC 42001:2023 Annex A.7.2 (Data acquisition policy), Annex A.5.2 (Supply chain governance)","NIST AI RMF 1.0 GOVERN 6.1 (third-party AI risk), MAP 1.1 (AI use context and data boundaries)",OWASP LLM Top 10: LLM10 - Model Theft (IP exfiltration via unsanctioned AI tools),"EU AI Act Art. 9 (Risk management), Art. 10 (Data governance for training data)"
AR_80,Data Processing,"Does the system automatically quarantine data that violates your format (Schema Drift) rather than allowing ""Null"" or garbage values to pass?",Medium,6.92,2,🟡 Medium,Annex A.7.3 | Clause 8.4,MEASURE 2.3 | MANAGE 2.2,LLM04 - Data and Model Poisoning,Art. 10 (Data governance - quality criteria) | Art. 9 (Risk management system),"ISO/IEC 42001:2023 Annex A.7.3 (Data quality), Clause 8.4 (AI operational controls)","NIST AI RMF 1.0 MEASURE 2.3 (AI data quality monitoring), MANAGE 2.2 (data anomaly response)",OWASP LLM Top 10: LLM04 - Data and Model Poisoning (schema drift as attack vector),"EU AI Act Art. 10 (Data governance - quality criteria), Art. 9 (Risk management system)"
AR_81,Data Processing,"Are ""Circuit Breakers"" in place to kill the ingestion stream if the volume (and cloud cost) spikes unexpectedly?",Low,4.94,2,🟢 Low,Clause 8.4 | Annex A.6.1,MEASURE 2.7 | MANAGE 2.2,LLM04 - Model Denial of Service,Art. 9 (Risk management - availability) | Art. 15 (Robustness requirements),"ISO/IEC 42001:2023 Clause 8.4 (AI operational resilience), Annex A.6.1 (AI system performance controls)","NIST AI RMF 1.0 MEASURE 2.7 (AI system resilience), MANAGE 2.2 (AI incident containment)",OWASP LLM Top 10: LLM04 - Model Denial of Service (volume-based cost attack circuit breaking),"EU AI Act Art. 9 (Risk management - availability), Art. 15 (Robustness requirements)"
AR_82,Data Processing,"Are your model weights encrypted with ""Hold Your Own Key"" (HYOK) technology so the cloud provider cannot see them?",High,9.56,2,🟠 High,Annex A.9.4 | Annex A.6.1,MANAGE 2.4 | GOVERN 1.2,LLM10 - Model Theft,Art. 15 (Cybersecurity - protection of AI model integrity) | Art. 9 (Risk management),"ISO/IEC 42001:2023 Annex A.9.4 (Cryptographic controls for AI assets), Annex A.6.1 (AI system security)","NIST AI RMF 1.0 MANAGE 2.4 (AI asset protection), GOVERN 1.2 (cryptographic key management policies)",OWASP LLM Top 10: LLM10 - Model Theft (model weight encryption at rest),"EU AI Act Art. 15 (Cybersecurity - protection of AI model integrity), Art. 9 (Risk management)"
AR_83,Data Processing,"Do you have hard-coded ""Geofencing"" that prevents AI data from being replicated to servers outside your legal jurisdiction?",Medium,7.28,2,🟡 Medium,Annex A.10.1 | Annex A.7.2,GOVERN 1.4 | MAP 1.1,LLM06 - Sensitive Information Disclosure,Art. 10 (Data governance) | Art. 71 (Penalties - data sovereignty compliance),"ISO/IEC 42001:2023 Annex A.10.1 (Privacy and data residency), Annex A.7.2 (Data governance)","NIST AI RMF 1.0 GOVERN 1.4 (AI governance policies - jurisdictional), MAP 1.1 (regulatory context for AI)",OWASP LLM Top 10: LLM06 - Sensitive Information Disclosure (cross-border data transfer controls),"EU AI Act Art. 10 (Data governance), Art. 71 (Penalties - data sovereignty compliance)"
AR_84,Application Layer,"Does your storage layer support ""Identity-Based Decryption,"" where data is only decrypted at the moment a specific authorized user calls it?",Medium,7.65,2,🟡 Medium,Annex A.9.3 | Annex A.9.4,MANAGE 2.4 | GOVERN 1.2,LLM06 - Sensitive Information Disclosure,Art. 15 (Cybersecurity measures) | Art. 9 (Risk management system),"ISO/IEC 42001:2023 Annex A.9.3 (Access control for AI systems), Annex A.9.4 (Cryptographic controls)","NIST AI RMF 1.0 MANAGE 2.4 (AI asset trustworthiness), GOVERN 1.2 (access control policies)",OWASP LLM Top 10: LLM06 - Sensitive Information Disclosure (identity-based decryption at access layer),"EU AI Act Art. 15 (Cybersecurity measures), Art. 9 (Risk management system)"
AR_85,Data Processing,"Are your ""Gold Standard"" training sets stored in ""WORM"" (Write Once, Read Many) storage to prevent accidental or malicious tampering?",High,8.65,2,🟠 High,Annex A.7.5 | Annex A.7.3,MEASURE 2.3 | MANAGE 4.2,LLM04 - Data and Model Poisoning,Art. 10 (Data governance - training data integrity) | Art. 12 (Record-keeping),"ISO/IEC 42001:2023 Annex A.7.5 (Data provenance and integrity), Annex A.7.3 (Data quality assurance)","NIST AI RMF 1.0 MEASURE 2.3 (AI data integrity), MANAGE 4.2 (AI data documentation and immutability)",OWASP LLM Top 10: LLM04 - Data and Model Poisoning (training set immutability controls),"EU AI Act Art. 10 (Data governance - training data integrity), Art. 12 (Record-keeping)"
AR_86,Vector Database,"Is your Vector Database logically separated from your public-facing APIs to prevent ""Inference-Based Reconstruction"" attacks?",High,9.7,2,🟠 High,Annex A.9.3 | Clause 8.4,MEASURE 2.5 | MANAGE 2.4,LLM06 - Sensitive Information Disclosure,Art. 9 (Risk management) | Art. 15 (Cybersecurity - network and API separation),"ISO/IEC 42001:2023 Annex A.9.3 (AI system access control), Clause 8.4 (AI operational security)","NIST AI RMF 1.0 MEASURE 2.5 (AI system security isolation), MANAGE 2.4 (AI data asset protection)",OWASP LLM Top 10: LLM06 - Sensitive Information Disclosure (vector DB isolation from public APIs),"EU AI Act Art. 9 (Risk management), Art. 15 (Cybersecurity - network and API separation)"
AR_87,Data Processing,"Do you apply transformation steps (like scaling or normalization) separately to training and test sets to prevent ""Future Data"" from leaking into the training phase?",Medium,7.65,2,🟡 Medium,Annex A.7.3 | Clause 8.5,MEASURE 2.3 | MEASURE 2.9,LLM04 - Data and Model Poisoning,Art. 10 (Data governance - training/validation data separation) | Art. 9 (Risk management),"ISO/IEC 42001:2023 Annex A.7.3 (Data quality and split integrity), Clause 8.5 (AI validation)","NIST AI RMF 1.0 MEASURE 2.3 (AI data integrity), MEASURE 2.9 (AI model evaluation integrity)",OWASP LLM Top 10: LLM04 - Data and Model Poisoning (data leakage in training pipeline),"EU AI Act Art. 10 (Data governance - training/validation data separation), Art. 9 (Risk management)"
