QID,Question_Text,Source_Sheet
AR_107,"Are Knowledge Graphs actively scanned to detect and prune hidden, non-obvious relationship vectors that could allow users to circumvent standard HR or financial access controls?",MAIN QUESTIONS
AR_108,"Are 'Just-In-Time' (JIT) access tokens utilized for AI data retrieval, ensuring the model's access to backend systems is cryptographically revoked the moment the inference completes?",MAIN QUESTIONS
AR_109,Can every AI-driven object modification be traced back to both the model ID and the authorizing human?,MAIN QUESTIONS
AR_110,Are strict row-return limits programmatically enforced at the GraphQL or SQL engine layer to prevent the AI agent from silently dumping entire database tables?,MAIN QUESTIONS
AR_111,Are sliding-window algorithmic rate limiters enforced at the API gateway to mathematically cap the velocity of autonomous agent API calls?,MAIN QUESTIONS
AR_112,"Does the system support targeted 'cryptographic shredding,' allowing specific embeddings to be permanently destroyed by deleting their unique encryption key?",MAIN QUESTIONS
AR_113,"Are training environments physically and logically air-gapped from live production databases, strictly requiring data to be transferred via hardened, one-way synchronization pipelines?",MAIN QUESTIONS
AR_114,Is Fully Homomorphic Encryption (FHE) utilized to allow the LLM to perform inference directly on encrypted payloads without ever seeing the plaintext data?,MAIN QUESTIONS
AR_115,Are automated billing APIs polled continuously to trigger 'Scale-to-Zero' infrastructure teardowns if cloud consumption breaches a statistical anomaly threshold?,MAIN QUESTIONS
AR_116,Does your service manager run shadow tests (comparing a new model’s logic against an old one) before a full rollout?,MAIN QUESTIONS
AR_117,Are deterministic 'intent classifiers' deployed as an independent oversight layer to mathematically score the alignment between a multi-agent chain's output and the originating human prompt?,MAIN QUESTIONS
AR_118,"Does the advisory-gating system automatically flag and escalate instances where human approvers exhibit 'rubber-stamping' behavior, such as approving complex AI outputs in unrealistically short timeframes (Automation Bias)?",MAIN QUESTIONS
AR_119,"Can you instantly disable a specific AI service (e.g., “Customer Support Bot”) without taking down your entire IT infrastructure?",MAIN QUESTIONS
AR_120,"Are foundational enterprise cloud architectures strictly governed by centralized policy frameworks (landing zones) to enforce secure configurations, resource accountability, and lifecycle management for legacy compute?",MAIN QUESTIONS
AR_121,Are Cloud Security Posture Management (CSPM) tools actively deployed to detect and automatically remediate public S3 bucket exposures or overly permissive IAM roles attached to AI workloads?,MAIN QUESTIONS
AR_122,"Are 'Service Control Policies' (SCPs) utilized at the cloud organization root level to explicitly deny the provisioning of unapproved, experimental AI services by shadow IT teams?",MAIN QUESTIONS
AR_123,Is there a formal process to review and escalate critical cloud infrastructure risks to executive leadership?,MAIN QUESTIONS
AR_124,"Is physical compute hardware (GPUs/TPUs) secured against side-channel attacks, data extraction, and physical tampering, utilizing cryptographic firmware signatures at boot and hardened physical perimeter security?",MAIN QUESTIONS
AR_125,Are continuous firmware integrity checks executed on AI accelerator chips (GPUs/TPUs) to detect and instantly halt execution if persistent rootkits are injected?,MAIN QUESTIONS
AR_126,"Are hardware-level memory encryption protocols (e.g., AMD SEV, Intel TDX) enabled by default to prevent cold-boot and physical memory scraping attacks on the AI nodes?",MAIN QUESTIONS
AR_127,Is an automated 'Vulnerability Exploitability eXchange' (VEX) framework implemented to prioritize AI patches based on actual runtime execution context rather than generic CVSS scores?,MAIN QUESTIONS
AR_128,"Are infrastructure-as-code (IaC) templates for AI environments strictly version-controlled, automatically scanned for misconfigurations prior to deployment, and restricted from manual console modifications in production?",MAIN QUESTIONS
AR_129,"Are technical privacy controls—including data minimization, automated PII redaction, encryption, and geofencing—strictly implemented to protect personal data from unauthorized access or exfiltration?",MAIN QUESTIONS
AR_130,Are data-masking proxies deployed at the database egress layer to dynamically obfuscate PII in real-time before it is presented to analytics or BI dashboards?,MAIN QUESTIONS
AR_131,"Is strict Mutual TLS (mTLS) enforced for all microservice-to-microservice communication within the AI backend, preventing internal traffic sniffing?",MAIN QUESTIONS
AR_132,"Are cryptographic hashes utilized instead of plaintext values when joining disparate sensitive datasets, mitigating the risk of inadvertent de-anonymization?",MAIN QUESTIONS
AR_133,Is physical data geofencing enforced via cloud-native routing policies to mathematically guarantee that PII cannot transit out of legally mandated sovereign regions?,MAIN QUESTIONS
AR_134,Are automated regular expression (Regex) scanners and ML classifiers deployed across all data lakes to continuously verify the accuracy of assigned classification labels?,MAIN QUESTIONS
AR_135,"Rate the maturity of your data lifecycle and retention governance program with automated enforcement, legal hold capabilities, and rules consistently applied across all AI datasets and storage locations.",MAIN QUESTIONS
AR_136,"Is your AI network architecture and compute environment strictly microsegmented—utilizing VM-level isolation (e.g., Kata Containers) to ensure one tenant’s AI job cannot access another's memory or internal corporate databases?",MAIN QUESTIONS
AR_137,"Is the enterprise API Gateway configured as the sole ingress point for all AI models, enforcing global WAF rules, DDoS mitigation, and central logging?",MAIN QUESTIONS
AR_138,Is all intra-cluster communication between AI microservices protected by a Service Mesh enforcing strict mutual TLS (mTLS) and dynamic traffic routing?,MAIN QUESTIONS
AR_139,"Is enterprise network security continuously monitored and managed utilizing centralized firewalls, IDS/IPS, flow logging, and secure hybrid connectivity (VPN/SD-WAN) to protect AI workloads?",MAIN QUESTIONS
AR_140,Are advanced behavioral network traffic analysis (NTA) tools utilized to detect 'low and slow' data exfiltration attempts originating from compromised AI development environments?,MAIN QUESTIONS
AR_141,"Are dedicated, private fiber links (e.g., AWS Direct Connect, Azure ExpressRoute) utilized for all hybrid AI data transfers to prevent sensitive training data from traversing the public internet?",MAIN QUESTIONS
AR_142,"Is a foundational Identity and Access Management (IAM) framework implemented, utilizing Privileged Access Management (PAM), automated lifecycle provisioning, and phishing-resistant MFA across the AI ecosystem?",MAIN QUESTIONS
AR_143,"Are all 'break-glass' or emergency administrative access sessions to AI production clusters strictly brokered through a PAM vault, fully video-recorded, and alerted to the SOC?",MAIN QUESTIONS
AR_144,"Are HR-driven automated de-provisioning workflows technically guaranteed to revoke all SSO, cloud, and local system access within 60 minutes of an employee or contractor termination?",MAIN QUESTIONS
AR_145,Is FIDO2/WebAuthn hardware token authentication strictly mandated for any developer or data scientist possessing write-access to the AI code repositories or training data buckets?,MAIN QUESTIONS
AR_146,"Are data-center racks hosting highly sensitive AI workloads physically caged, requiring dual-factor biometric authentication for physical maintenance access?",MAIN QUESTIONS
AR_147,"Is physical asset tracking strictly maintained for failed or end-of-life GPU components, ensuring their NVRAM is cryptographically wiped or physically destroyed before RMA or disposal?",MAIN QUESTIONS
AR_148,Are all configuration changes governed through change management with automated drift detection and rollback capabilities?,MAIN QUESTIONS
AR_149,Are cryptographic hashing or blockchain-based ledger mechanisms utilized to ensure the real-time integrity and non-repudiation of all AI system operational and training logs?,MAIN QUESTIONS
AR_150,"Are SIEM ingestion pipelines configured to aggregate and correlate all cloud flow logs, API gateway metrics, and AI model inference logs to enable comprehensive cross-stack threat hunting?",MAIN QUESTIONS
AR_151,"Are foundational IT Operations (ITOps) workflows implemented, including enterprise incident management, business continuity, and continuous configuration drift governance supporting the AI infrastructure?",MAIN QUESTIONS
AR_152,Are automated 'Chaos Engineering' experiments routinely executed against the AI infrastructure to mathematically validate the resilience and failover capabilities of the production environment?,MAIN QUESTIONS
AR_153,Are critical AI system backup restorations tested quarterly in a physically separate 'clean room' environment to prove ransomware recovery capabilities?,MAIN QUESTIONS
AR_154,Are Service Level Objectives (SLOs) and Error Budgets actively utilized to halt feature development and mandate reliability engineering if an AI system experiences excessive downtime?,MAIN QUESTIONS
AR_155,"Are cloud resource tagging standards strictly enforced via Infrastructure-as-Code (IaC), automatically rejecting deployments that lack mandatory risk and data-classification tags?",MAIN QUESTIONS
AR_156,"Rate the maturity of your AI cloud spending governance through a formal FinOps framework featuring executive-level reporting, internal chargeback mechanisms, and auto-scaling policies strictly aligned with defined financial budget controls.",MAIN QUESTIONS
AR_157,Are automated 'Spot Instance' or preemptible VM architectures utilized for fault-tolerant AI training workloads to systematically reduce cloud compute overhead?,MAIN QUESTIONS
AR_158,Is the Kubernetes Horizontal Pod Autoscaler (HPA) hard-capped to prevent elastic scaling from causing runaway financial liability during a DDoS attack?,MAIN QUESTIONS
AR_159,"Are granular metadata tags (e.g., Department_ID, Model_Version) strictly enforced on all AI cloud resources via infrastructure-as-code to guarantee accurate FinOps chargebacks?",MAIN QUESTIONS
AR_160,"Are long-term cloud investment risks evaluated, including vendor lock-in, contract flexibility, and technology obsolescence?",MAIN QUESTIONS
AR_161,"Does the organization have a formally documented AI policy approved by senior management or the board, with a clearly designated owner?",MAIN QUESTIONS
AR_162,"Does the AI policy explicitly cover all key lifecycle areas (strategy, development, third-party, GenAI, data, fairness, oversight, incidents, and decommissioning) and apply across all business units, geographies, subsidiaries, contractors, and third parties?",MAIN QUESTIONS
AR_163,"Is AI policy compliance enforced through formal mechanisms (e.g., deployment approvals, SDLC integration, audits, attestations), and is that enforcement effective in day-to-day operations?",MAIN QUESTIONS
AR_164,When was the AI policy last reviewed or updated?,MAIN QUESTIONS
AR_165,Does the organization have a formal process to update the AI policy in response to regulatory changes or new AI use cases?,MAIN QUESTIONS
AR_166,"Rate the maturity of your formally documented, board-approved, and distributed a master Corporate AI Policy that mandates cross-functional compliance across the entire system lifecycle.",MAIN QUESTIONS
AR_167,"Does the Board of Directors explicitly receive and minute a quarterly briefing detailing the aggregate risk posture, severe incidents, and regulatory exposure of the enterprise AI portfolio?",MAIN QUESTIONS
AR_168,"Are AI-related roles and responsibilities (including AI system owner, risk owner, human oversight, and compliance roles) formally documented, approved, and assigned to each in-scope AI system?",MAIN QUESTIONS
AR_169,"Rate the maturity of your whistleblower-protected 'emergency stop' mechanism that allows any employee to directly escalate severe AI risks to the governance committee, bypassing standard management reporting lines.",MAIN QUESTIONS
AR_170,Are automated access controls technically enforced within the AI infrastructure to strictly limit 'override' or 'kill-switch' execution capabilities exclusively to pre-authorized governance personnel?,MAIN QUESTIONS
AR_171,"Are individuals assigned AI-related roles formally assessed for appropriate competence, skills, and training before taking on those responsibilities?",MAIN QUESTIONS
AR_172,"Are critical AI safety or alignment failures automatically routed through IT incident management platforms (e.g., PagerDuty, ServiceNow) to bypass manual reporting delays?",MAIN QUESTIONS
AR_173,"Are AI development, risk oversight, and approval responsibilities adequately segregated to avoid conflicts of interest, with no significant overlap between model development, risk assessment, and approval functions?",MAIN QUESTIONS
AR_174,"Rate the maturity of your Are AI risk, compliance, or ethics oversight functions structurally independent from AI development and business ownership (e.g., via separate reporting lines, independent committees, or second-line functions).",MAIN QUESTIONS
AR_175,"Rate the maturity of your Are AI risk, compliance, and ethics oversight functions structurally independent from AI development and product growth teams, featuring enforced segregation of duties to actively prevent and manage conflicts of interest.",MAIN QUESTIONS
AR_176,Are backup personnel and alternate decision-making authorities formally identified and documented to ensure continuity of critical AI governance and risk oversight functions during absences or exceptional scenarios?,MAIN QUESTIONS
AR_177,"During a severe AI incident, are pre-provisioned, secure 'War Room' forensic environments automatically spun up to allow investigators to analyze model state without contaminating the production environment?",MAIN QUESTIONS
AR_178,"Is the master AI Policy integrated directly into the vendor procurement process, ensuring no software containing undocumented AI features can bypass legal and risk review?",MAIN QUESTIONS
AR_179,"Is audit-defensible documentation maintained for AI-related decisions (who approved what, when, and why) across all lifecycle stages, including design, development, deployment, monitoring, changes, and decommissioning?",MAIN QUESTIONS
AR_180,"Is mandatory enterprise-wide AI literacy and policy awareness training implemented, incorporating role-specific competency assessments for all employees and third-party contractors?",MAIN QUESTIONS
AR_181,"Are specialized, deep-technical 'Secure AI Development' training modules mandatory for all data scientists and engineers prior to being granted access to production codebases?",MAIN QUESTIONS
AR_182,"Is completion of AI policy training directly linked to network access controls, automatically revoking access to internal AI tools if an employee's certification expires?",MAIN QUESTIONS
AR_183,"Rate the maturity of your formally established, approved, and implemented a structured AI resource management process within the AIMS, covering identification, documentation, review, and continuous management across all lifecycle stages.",MAIN QUESTIONS
AR_184,"Does the organization maintain a centralized, version-controlled AI system register explicitly documenting all operational models, frameworks, tools, and data inputs—including name, owner, risk tier, and dependencies—covering all active lifecycle stages?",MAIN QUESTIONS
AR_185,"Are all identified AI resources explicitly mapped to defined AI lifecycle phases (design, development, validation, deployment, monitoring, change management, decommissioning) for traceability and risk alignment?",MAIN QUESTIONS
