QID,Risk_Category
AR_244,risk_management_liability_insurance
AR_245,legal_regulatory_compliance
AR_246,policies_procedures_documentation
AR_247,third_party_vendor_supply_chain
AR_248,deployment_release_management
AR_249,LLM_prompting
AR_250,ai_system_security_adversarial_risk
AR_251,mlops_model_operations_management
AR_252,data_governance_quality_lineage_enterprise
AR_253,policies_procedures_documentation
AR_254,audit_assurance_review
AR_255,data_governance_quality_lineage_enterprise
AR_256,data_governance_quality_lineage_enterprise
AR_257,data_governance_quality_lineage_enterprise
AR_258,data_governance_quality_lineage_enterprise
AR_259,data_governance_quality_lineage_enterprise
AR_260,data_governance_quality_lineage_enterprise
AR_261,ai_system_security_adversarial_risk
AR_262,model_training_data_management
AR_263,data_governance_quality_lineage_enterprise
AR_264,shadow_unauthorized_ai
AR_265,model_monitoring_drift_management
AR_266,model_training_data_management
AR_267,legal_regulatory_compliance
AR_268,privacy_personal_data_protection
AR_269,data_governance_quality_lineage_enterprise
AR_270,third_party_vendor_supply_chain
AR_271,privacy_personal_data_protection
AR_272,privacy_personal_data_protection
AR_273,audit_assurance_review
AR_274,bias_fairness_discrimination
AR_275,LLM_prompting
AR_276,stakeholder_communication_disclosure
AR_277,explainability_transparency
AR_278,policies_procedures_documentation
AR_279,intellectual_property_rights
AR_280,legal_regulatory_compliance
AR_281,third_party_vendor_supply_chain
AR_282,incident_response_recovery
AR_283,explainability_transparency
AR_284,incident_response_recovery
AR_285,incident_response_recovery
AR_286,stakeholder_communication_disclosure
AR_287,stakeholder_communication_disclosure
AR_288,human_factors_behavioral_risk
AR_289,policies_procedures_documentation
AR_290,stakeholder_communication_disclosure
AR_291,audit_assurance_review
AR_292,incident_response_recovery
AR_293,stakeholder_communication_disclosure
AR_294,bias_fairness_discrimination
AR_295,policies_procedures_documentation
AR_296,audit_assurance_review
AR_297,ethical_use_principles
AR_298,staff_training_ai_literacy
AR_299,incident_response_recovery
AR_300,meta_cognitive_meta_governance
AR_301,intended_use_context_scope
AR_302,shadow_unauthorized_ai
AR_303,third_party_vendor_supply_chain
AR_304,audit_assurance_review
AR_305,human_oversight_intervention
AR_306,human_factors_behavioral_risk
AR_307,shadow_unauthorized_ai
AR_308,agents_and_agent_orchestration
AR_309,staff_training_ai_literacy
AR_310,intended_use_context_scope
AR_311,incident_response_recovery
AR_312,human_oversight_intervention
AR_313,meta_cognitive_meta_governance
AR_314,accountability_responsibility_assignment_formal
AR_315,data_access_control_usage
AR_316,mlops_model_operations_management
AR_317,environmental_sustainability_impact
AR_318,model_training_data_management
AR_319,model_monitoring_drift_management
AR_320,model_training_data_management
AR_321,ai_system_security_adversarial_risk
AR_322,model_validation_testing
AR_323,deployment_release_management
AR_324,ai_system_security_adversarial_risk
AR_325,legal_regulatory_compliance
AR_326,third_party_vendor_supply_chain
AR_327,fraud_misuse_abuse
AR_328,data_access_control_usage
AR_329,audit_assurance_review
AR_330,explainability_transparency
AR_331,ai_system_inventory_register
AR_332,bias_fairness_discrimination
AR_333,board_executive_oversight
AR_334,ai_system_security_adversarial_risk
AR_335,model_validation_testing
AR_336,third_party_vendor_supply_chain
AR_337,incident_response_recovery
AR_338,ai_impact_assessment
AR_339,staff_dislocation_retraining_change_management
AR_340,bias_fairness_discrimination
AR_341,fraud_misuse_abuse
AR_342,fraud_misuse_abuse
AR_343,fraud_misuse_abuse
AR_344,fraud_misuse_abuse
AR_345,fraud_misuse_abuse
AR_346,roles_responsibilities_competence_working
AR_347,return_on_ai_investment
AR_348,staff_dislocation_retraining_change_management
AR_349,privacy_personal_data_protection
AR_350,human_oversight_intervention
AR_351,model_monitoring_drift_management
AR_352,human_factors_behavioral_risk
AR_353,stakeholder_communication_disclosure
AR_354,incident_response_recovery
AR_355,incident_response_recovery
AR_356,ai_system_inventory_register
AR_357,intellectual_property_rights
AR_358,intellectual_property_rights
AR_359,data_governance_quality_lineage_enterprise
AR_360,intellectual_property_rights
AR_361,legal_regulatory_compliance
AR_362,legal_regulatory_compliance
AR_363,legal_regulatory_compliance
AR_364,legal_regulatory_compliance
AR_365,model_validation_testing
AR_366,data_access_control_usage
AR_367,model_monitoring_drift_management
AR_368,audit_assurance_review
AR_369,model_monitoring_drift_management
AR_370,human_oversight_intervention
AR_371,ai_system_security_adversarial_risk
AR_372,human_factors_behavioral_risk
AR_373,human_oversight_intervention
AR_374,mlops_model_operations_management
AR_375,mlops_model_operations_management
AR_376,model_monitoring_drift_management
AR_377,mlops_model_operations_management
AR_378,risk_management_liability_insurance
AR_379,ai_system_security_adversarial_risk
AR_380,privacy_personal_data_protection
AR_381,privacy_personal_data_protection
AR_382,privacy_personal_data_protection
AR_383,privacy_personal_data_protection
AR_384,third_party_vendor_supply_chain
AR_385,model_monitoring_drift_management
AR_386,human_oversight_intervention
AR_387,third_party_vendor_supply_chain
AR_388,risk_management_liability_insurance
AR_389,risk_management_liability_insurance
AR_390,fraud_misuse_abuse
AR_391,data_security_protection
AR_392,ai_system_security_adversarial_risk
AR_393,third_party_vendor_supply_chain
AR_394,ai_system_security_adversarial_risk
AR_395,ai_system_security_adversarial_risk
AR_396,data_security_protection
AR_397,ai_system_security_adversarial_risk
AR_398,mlops_model_operations_management
AR_399,ai_system_security_adversarial_risk
AR_400,fraud_misuse_abuse
AR_401,shadow_unauthorized_ai
AR_402,shadow_unauthorized_ai
AR_403,staff_training_ai_literacy
AR_404,staff_dislocation_retraining_change_management
AR_405,human_oversight_intervention
AR_406,staff_dislocation_retraining_change_management
AR_407,third_party_vendor_supply_chain
AR_408,third_party_vendor_supply_chain
AR_409,accountability_responsibility_assignment_formal
AR_410,shadow_unauthorized_ai
AR_411,privacy_personal_data_protection
AR_412,bias_fairness_discrimination
AR_413,explainability_transparency
AR_414,bias_fairness_discrimination
AR_415,fraud_misuse_abuse
AR_416,bias_fairness_discrimination
AR_417,ai_governance_framework
AR_418,board_executive_oversight
AR_419,ai_governance_framework
AR_420,third_party_vendor_supply_chain
AR_421,incident_response_recovery
AR_422,incident_response_recovery
AR_423,accountability_responsibility_assignment_formal
AR_424,third_party_vendor_supply_chain
AR_425,third_party_vendor_supply_chain
AR_426,third_party_vendor_supply_chain
AR_427,third_party_vendor_supply_chain
AR_428,third_party_vendor_supply_chain
AR_429,third_party_vendor_supply_chain
AR_430,third_party_vendor_supply_chain
AR_431,third_party_vendor_supply_chain
AR_432,risk_management_liability_insurance
AR_433,stakeholder_communication_disclosure
AR_434,stakeholder_communication_disclosure
AR_435,human_oversight_intervention
AR_436,meta_cognitive_meta_governance
AR_437,third_party_vendor_supply_chain
AR_438,stakeholder_communication_disclosure
AR_439,third_party_vendor_supply_chain
AR_440,accountability_responsibility_assignment_formal
AR_441,third_party_vendor_supply_chain
AR_442,audit_assurance_review
AR_443,deployment_release_management
AR_444,accountability_responsibility_assignment_formal
AR_445,agents_and_agent_orchestration
AR_446,agents_and_agent_orchestration
AR_447,third_party_vendor_supply_chain
AR_448,privacy_personal_data_protection
AR_449,agents_and_agent_orchestration
AR_450,agents_and_agent_orchestration
AR_451,third_party_vendor_supply_chain
AR_452,policies_procedures_documentation
AR_453,shadow_unauthorized_ai
AR_454,agents_and_agent_orchestration
AR_455,ai_system_security_adversarial_risk
AR_456,ai_system_security_adversarial_risk
AR_457,agents_and_agent_orchestration
AR_458,audit_assurance_review
AR_459,audit_assurance_review
AR_460,agents_and_agent_orchestration
AR_461,agents_and_agent_orchestration
AR_462,incident_response_recovery
AR_463,policies_procedures_documentation
AR_464,human_oversight_intervention
AR_465,human_oversight_intervention
AR_466,ai_system_security_adversarial_risk
AR_467,deployment_release_management
AR_468,agents_and_agent_orchestration
AR_469,privacy_personal_data_protection
AR_470,privacy_personal_data_protection
AR_471,third_party_vendor_supply_chain
AR_472,human_oversight_intervention
AR_473,agents_and_agent_orchestration
AR_474,policies_procedures_documentation
AR_475,incident_response_recovery
AR_476,policies_procedures_documentation
AR_477,staff_training_ai_literacy
AR_478,meta_cognitive_meta_governance
AR_479,ai_system_security_adversarial_risk
AR_480,LLM_prompting
AR_481,audit_assurance_review
AR_482,third_party_vendor_supply_chain
AR_1001,mlops_model_operations_management
AR_1002,agents_and_agent_orchestration
AR_1003,data_access_control_usage
AR_1004,ai_system_security_adversarial_risk
AR_1010,mlops_model_operations_management
AR_1011,mlops_model_operations_management
AR_1012,mlops_model_operations_management
AR_1013,intellectual_property_rights
AR_1014,data_governance_quality_lineage_enterprise
AR_1015,intellectual_property_rights
AR_1016,data_governance_quality_lineage_enterprise
AR_1017,ai_system_security_adversarial_risk
AR_1019,incident_response_recovery
AR_1020,data_security_protection
AR_1021,privacy_personal_data_protection
AR_1023,ai_system_security_adversarial_risk
AR_1024,ai_system_security_adversarial_risk
AR_1026,model_validation_testing
AR_1027,ai_system_security_adversarial_risk
AR_1028,privacy_personal_data_protection
AR_1029,agents_and_agent_orchestration
AR_1030,shadow_unauthorized_ai
AR_1031,data_governance_quality_lineage_enterprise
AR_1032,mlops_model_operations_management
AR_1034,data_access_control_usage
AR_1035,data_security_protection
AR_1036,ai_system_security_adversarial_risk
AR_1037,model_training_data_management
AR_1038,bias_fairness_discrimination
AR_1040,data_governance_quality_lineage_enterprise
AR_1041,data_governance_quality_lineage_enterprise
AR_1043,model_training_data_management
AR_1044,data_governance_quality_lineage_enterprise
AR_1045,data_governance_quality_lineage_enterprise
AR_1046,data_governance_quality_lineage_enterprise
AR_1047,data_governance_quality_lineage_enterprise
AR_1048,privacy_personal_data_protection
AR_1049,data_governance_quality_lineage_enterprise
AR_1050,model_monitoring_drift_management
AR_1051,audit_assurance_review
AR_1053,human_oversight_intervention
AR_1054,data_access_control_usage
AR_1055,bias_fairness_discrimination
AR_1056,data_security_protection
AR_1057,data_access_control_usage
AR_1058,agents_and_agent_orchestration
AR_1059,ai_system_security_adversarial_risk
AR_1060,ai_system_security_adversarial_risk
AR_1061,data_security_protection
AR_1062,ai_system_security_adversarial_risk
AR_1063,data_security_protection
AR_1064,model_monitoring_drift_management
AR_1065,model_monitoring_drift_management
AR_1066,agents_and_agent_orchestration
AR_1067,model_monitoring_drift_management
AR_1068,agents_and_agent_orchestration
AR_1077,agents_and_agent_orchestration
AR_1082,data_governance_quality_lineage_enterprise
AR_1083,data_security_protection
AR_1087,cloud_provider_technical_environment
AR_1088,ai_system_security_adversarial_risk
AR_1092,agents_and_agent_orchestration
AR_1093,audit_assurance_review
AR_1094,ai_system_security_adversarial_risk
AR_1095,ai_system_security_adversarial_risk
AR_1096,mlops_model_operations_management
AR_1097,ai_system_security_adversarial_risk
AR_1098,privacy_personal_data_protection
AR_1099,data_governance_quality_lineage_enterprise
AR_1100,data_access_control_usage
AR_1101,data_access_control_usage
AR_1102,LLM_prompting
AR_1103,human_oversight_intervention
AR_1104,ai_system_security_adversarial_risk
AR_1105,data_access_control_usage
AR_1106,privacy_personal_data_protection
AR_1107,data_access_control_usage
AR_1108,data_access_control_usage
AR_1110,data_access_control_usage
AR_1111,agents_and_agent_orchestration
AR_1112,data_security_protection
AR_1113,model_training_data_management
AR_1114,privacy_personal_data_protection
AR_1115,mlops_model_operations_management
AR_1117,agents_and_agent_orchestration
AR_1120,cloud_provider_technical_environment
AR_1121,cloud_provider_technical_environment
AR_1122,cloud_provider_technical_environment
AR_1124,third_party_vendor_supply_chain
AR_1125,cloud_provider_technical_environment
AR_1126,cloud_provider_technical_environment
AR_1127,cloud_provider_technical_environment
AR_1128,cloud_provider_technical_environment
AR_1129,cloud_provider_technical_environment
AR_1130,cloud_provider_technical_environment
AR_1131,data_security_protection
AR_1132,incident_response_recovery
AR_1133,cloud_provider_technical_environment
AR_1134,data_governance_quality_lineage_enterprise
AR_1135,data_governance_quality_lineage_enterprise
AR_1136,cloud_provider_technical_environment
AR_1137,cloud_provider_technical_environment
AR_1138,cloud_provider_technical_environment
AR_1139,cloud_provider_technical_environment
AR_1140,cloud_provider_technical_environment
AR_1141,data_access_control_usage
AR_1142,data_access_control_usage
AR_1143,data_access_control_usage
AR_1144,data_access_control_usage
AR_1145,data_access_control_usage
AR_1146,cloud_provider_technical_environment
AR_1147,incident_response_recovery
AR_1149,audit_assurance_review
AR_1150,mlops_model_operations_management
AR_1151,cloud_provider_technical_environment
AR_1152,incident_response_recovery
AR_1153,cloud_provider_technical_environment
AR_1154,incident_response_recovery
AR_1155,incident_response_recovery
AR_1156,cloud_provider_technical_environment
AR_1157,cloud_provider_technical_environment
AR_1158,cloud_provider_technical_environment
AR_1159,cloud_provider_technical_environment
AR_1166,staff_training_ai_literacy
AR_1167,ai_governance_framework
AR_1172,ai_governance_framework
AR_1177,incident_response_recovery
AR_1178,risk_management_liability_insurance
AR_1180,accountability_responsibility_assignment_formal
AR_1181,accountability_responsibility_assignment_formal
AR_1182,meta_cognitive_meta_governance
AR_1184,ai_system_inventory_register
AR_1187,deployment_release_management
AR_1188,data_governance_quality_lineage_enterprise
AR_1189,data_governance_quality_lineage_enterprise
AR_1190,bias_fairness_discrimination
AR_1191,data_governance_quality_lineage_enterprise
AR_1192,data_governance_quality_lineage_enterprise
AR_1193,data_governance_quality_lineage_enterprise
AR_1195,ai_system_inventory_register
AR_1198,intellectual_property_rights
AR_1199,third_party_vendor_supply_chain
AR_1214,ai_impact_assessment
AR_1216,ai_impact_assessment
AR_1226,bias_fairness_discrimination
AR_1228,legal_regulatory_compliance
AR_1229,stakeholder_communication_disclosure
AR_1235,data_governance_quality_lineage_enterprise
AR_1236,bias_fairness_discrimination
AR_1239,mlops_model_operations_management
AR_1240,model_monitoring_drift_management
AR_1241,mlops_model_operations_management
AR_1243,model_training_data_management
AR_1249,LLM_prompting
AR_1250,ai_system_security_adversarial_risk
AR_1251,mlops_model_operations_management
AR_1252,data_governance_quality_lineage_enterprise
AR_1256,data_governance_quality_lineage_enterprise
AR_1261,ai_system_security_adversarial_risk
AR_1265,model_monitoring_drift_management
AR_1266,model_training_data_management
AR_1269,data_governance_quality_lineage_enterprise
AR_1272,privacy_personal_data_protection
AR_1278,policies_procedures_documentation
AR_1279,intellectual_property_rights
AR_1280,legal_regulatory_compliance
AR_1282,incident_response_recovery
AR_1283,explainability_transparency
AR_1284,incident_response_recovery
AR_1285,incident_response_recovery
AR_1288,human_factors_behavioral_risk
AR_1289,policies_procedures_documentation
AR_1290,stakeholder_communication_disclosure
AR_1292,incident_response_recovery
AR_1293,stakeholder_communication_disclosure
AR_1299,incident_response_recovery
AR_1300,meta_cognitive_meta_governance
AR_1302,shadow_unauthorized_ai
AR_1304,audit_assurance_review
AR_1307,shadow_unauthorized_ai
AR_1313,meta_cognitive_meta_governance
AR_1314,accountability_responsibility_assignment_formal
AR_1320,model_training_data_management
AR_1321,ai_system_security_adversarial_risk
AR_1327,fraud_misuse_abuse
AR_1328,data_access_control_usage
AR_1334,ai_system_security_adversarial_risk
AR_1335,model_validation_testing
AR_1337,incident_response_recovery
AR_1340,bias_fairness_discrimination
AR_1341,fraud_misuse_abuse
AR_1342,fraud_misuse_abuse
AR_1343,fraud_misuse_abuse
AR_1344,fraud_misuse_abuse
AR_1345,fraud_misuse_abuse
AR_1348,staff_dislocation_retraining_change_management
AR_1349,privacy_personal_data_protection
AR_1351,model_monitoring_drift_management
AR_1352,human_factors_behavioral_risk
AR_1353,stakeholder_communication_disclosure
AR_1354,incident_response_recovery
AR_1355,incident_response_recovery
AR_1356,ai_system_inventory_register
AR_1357,intellectual_property_rights
AR_1358,intellectual_property_rights
AR_1365,model_validation_testing
AR_1366,data_access_control_usage
AR_1367,model_monitoring_drift_management
AR_1369,model_monitoring_drift_management
AR_1370,human_oversight_intervention
AR_1371,ai_system_security_adversarial_risk
AR_1374,mlops_model_operations_management
AR_1376,model_monitoring_drift_management
AR_1377,mlops_model_operations_management
AR_1379,ai_system_security_adversarial_risk
AR_1380,privacy_personal_data_protection
AR_1381,privacy_personal_data_protection
AR_1385,model_monitoring_drift_management
AR_1392,ai_system_security_adversarial_risk
AR_1393,third_party_vendor_supply_chain
AR_1398,mlops_model_operations_management
AR_1399,ai_system_security_adversarial_risk
AR_1401,fraud_misuse_abuse
AR_1402,shadow_unauthorized_ai
AR_1404,staff_dislocation_retraining_change_management
AR_1410,shadow_unauthorized_ai
AR_1411,privacy_personal_data_protection
AR_1412,bias_fairness_discrimination
AR_1414,bias_fairness_discrimination
AR_1415,fraud_misuse_abuse
AR_1421,incident_response_recovery
AR_1434,stakeholder_communication_disclosure
AR_GOV_01,legal_regulatory_compliance
AR_GOV_02,data_security_protection
AR_GOV_03,ethical_use_principles
AR_GOV_04,bias_fairness_discrimination
AR_GOV_05,cloud_provider_technical_environment
AR_GOV_06,bias_fairness_discrimination
AR_GOV_07,human_factors_behavioral_risk
AR_GOV_08,explainability_transparency
AR_GOV_09,legal_regulatory_compliance
AR_GOV_10,bias_fairness_discrimination
AR_GOV_11,audit_assurance_review
AR_GOV_12,privacy_personal_data_protection
AR_GOV_13,legal_regulatory_compliance
AR_GOV_14,privacy_personal_data_protection
AR_GOV_15,policies_procedures_documentation
AR_GOV_16,explainability_transparency
AR_GOV_17,ai_system_security_adversarial_risk
AR_GOV_18,bias_fairness_discrimination
AR_GOV_19,privacy_personal_data_protection
AR_GOV_20,third_party_vendor_supply_chain
AR_LEG_01,staff_training_ai_literacy
AR_LEG_02,privacy_personal_data_protection
AR_LEG_03,audit_assurance_review
AR_LEG_04,human_oversight_intervention
AR_LEG_05,policies_procedures_documentation
AR_LEG_06,model_validation_testing
AR_LEG_07,explainability_transparency
AR_LEG_08,bias_fairness_discrimination
AR_LEG_09,risk_management_liability_insurance
AR_LEG_10,model_validation_testing
AR_LEG_11,legal_regulatory_compliance
AR_LEG_12,legal_regulatory_compliance
AR_LEG_13,intellectual_property_rights
AR_LEG_14,LLM_prompting
AR_LEG_15,incident_response_recovery
AR_LEG_16,third_party_vendor_supply_chain
AR_LEG_17,staff_training_ai_literacy
AR_LEG_18,model_validation_testing
AR_LEG_19,data_security_protection
AR_LEG_20,explainability_transparency
AR_TRN_01,legal_regulatory_compliance
AR_TRN_02,model_validation_testing
AR_TRN_03,incident_response_recovery
AR_TRN_04,model_validation_testing
AR_TRN_05,human_oversight_intervention
AR_TRN_06,bias_fairness_discrimination
AR_TRN_07,incident_response_recovery
AR_TRN_08,privacy_personal_data_protection
AR_TRN_09,legal_regulatory_compliance
AR_TRN_10,model_validation_testing
AR_TRN_11,legal_regulatory_compliance
AR_TRN_12,bias_fairness_discrimination
AR_TRN_13,incident_response_recovery
AR_TRN_14,legal_regulatory_compliance
AR_TRN_15,ai_system_security_adversarial_risk
AR_TRN_16,third_party_vendor_supply_chain
AR_TRN_17,incident_response_recovery
AR_TRN_18,bias_fairness_discrimination
AR_TRN_19,mlops_model_operations_management
AR_TRN_20,legal_regulatory_compliance
AR_UTL_01,third_party_vendor_supply_chain
AR_UTL_02,model_validation_testing
AR_UTL_03,cloud_provider_technical_environment
AR_UTL_04,human_oversight_intervention
AR_UTL_05,ai_impact_assessment
AR_UTL_06,cloud_provider_technical_environment
AR_UTL_07,incident_response_recovery
AR_UTL_08,legal_regulatory_compliance
AR_UTL_09,incident_response_recovery
AR_UTL_10,ai_system_security_adversarial_risk
AR_UTL_11,legal_regulatory_compliance
AR_UTL_12,legal_regulatory_compliance
AR_UTL_13,audit_assurance_review
AR_UTL_14,bias_fairness_discrimination
AR_UTL_15,bias_fairness_discrimination
AR_UTL_16,third_party_vendor_supply_chain
AR_UTL_17,incident_response_recovery
AR_UTL_18,privacy_personal_data_protection
AR_UTL_19,mlops_model_operations_management
