qid_code,question_text,component_group,function_tag,usecase_tag,role_tag,response_type,trigger_points,is_universal,nist_rmf,iso42001_clause,owasp_ref,guidance_text,risk_count,risk_ids,avg_risk_score,max_risk_score,avg_probability,avg_impact,total_weight,severity
AR_76,"Do you use automated statistical monitoring to detect and block ""outlier"" data batches that could purposefully bias or ""poison"" your model?",LLM / Model Layer,Production AI,ML Engineer,Yes/No/partical/Non-applicable ,NO,YES,False,,,,,2.0,R_AR_153|R_AR_154,9.7,9.7,4.0,4.0,1.3334,High
AR_77,"Is there a ""Privacy Buffer"" that automatically redacts PII (Sensitive Info) before it reaches your primary AI storage or RAG system?",Data Processing,All,Risk Officer,Yes/No/partical/Non-applicable ,NO,YES,False,,,,,2.0,R_AR_155|R_AR_156,9.23,9.23,4.0,4.0,1.3334,High
AR_78,"If you use AI Agents to fetch data, do you have an inspection proxy to ensure they aren't ingesting ""Indirect Prompt Injections"" from the web?",Retrieval (RAG),All Models,AI Lead,Yes/No/partical/Non-applicable ,NO,YES,False,,,,,2.0,R_AR_157|R_AR_158,16.76,16.76,5.0,5.0,1.3334,Critical
AR_79,"Do you have visibility into ""secondary"" ingestion (e.g., employees uploading proprietary PDFs or code to unsanctioned AI tools)?",Data Processing,Production AI,SysAdmin,Yes/No/partical/Non-applicable ,NO,YES,False,,,,,2.0,R_AR_159|R_AR_160,11.28,11.28,4.0,4.0,1.3334,High
AR_80,"Does the system automatically quarantine data that violates your format (Schema Drift) rather than allowing ""Null"" or garbage values to pass?",Data Processing,All Models,MLOps Lead,Yes/No/partical/Non-applicable ,NO,YES,False,,,,,2.0,R_AR_161|R_AR_162,6.92,6.92,4.0,3.0,1.3334,Medium
AR_81,"Are ""Circuit Breakers"" in place to kill the ingestion stream if the volume (and cloud cost) spikes unexpectedly?",Data Processing,All Models,Data Scientist,Yes/No/partical/Non-applicable ,NO,YES,False,,,,,2.0,R_AR_163|R_AR_164,4.94,4.94,3.0,3.0,1.3334,Low
AR_82,"Are your model weights encrypted with ""Hold Your Own Key"" (HYOK) technology so the cloud provider cannot see them?",Data Processing,All,Data Scientist,Yes/No/partical/Non-applicable ,NO,YES,False,,,,,2.0,R_AR_165|R_AR_166,9.56,9.56,3.0,5.0,1.3334,High
AR_83,"Do you have hard-coded ""Geofencing"" that prevents AI data from being replicated to servers outside your legal jurisdiction?",Data Processing,Production AI,Data Scientist,Yes/No/partical/Non-applicable ,NO,YES,False,,,,,2.0,R_AR_167|R_AR_168,7.28,7.28,3.0,4.0,1.3334,Medium
AR_84,"Does your storage layer support ""Identity-Based Decryption,"" where data is only decrypted at the moment a specific authorized user calls it?",Application Layer,Model Training,SysAdmin,Yes/No/partical/Non-applicable ,NO,YES,False,,,,,2.0,R_AR_169|R_AR_170,7.65,7.65,3.0,4.0,1.3334,Medium
AR_85,"Are your ""Gold Standard"" training sets stored in ""WORM"" (Write Once, Read Many) storage to prevent accidental or malicious tampering?",Data Processing,Cloud AI,SysAdmin,Yes/No/partical/Non-applicable ,NO,YES,False,,,,,2.0,R_AR_171|R_AR_172,8.65,8.65,3.0,5.0,1.3334,High
AR_86,"Is your Vector Database logically separated from your public-facing APIs to prevent ""Inference-Based Reconstruction"" attacks?",Vector Database,Production AI,SysAdmin,Yes/No/partical/Non-applicable ,NO,YES,False,,,,,2.0,R_AR_173|R_AR_174,9.7,9.7,4.0,4.0,1.3334,High
AR_87,"Do you apply transformation steps (like scaling or normalization) separately to training and test sets to prevent ""Future Data"" from leaking into the training phase?",Data Processing,Model Training,SysAdmin,Yes/No/partical/Non-applicable ,NO,YES,False,,,,,2.0,R_AR_175|R_AR_176,7.65,7.65,3.0,4.0,1.3334,Medium
AR_88,"Do you run automated ""Fairness Audits"" on your transformed features to ensure cleaning scripts haven't inadvertently removed or skewed minority group data?",Embeddings,All,SOC Analyst,Yes/No/partical/Non-applicable ,NO,YES,False,,,,,2.0,R_AR_177|R_AR_178,7.28,7.28,3.0,4.0,1.3334,Medium
AR_89,"Have you tested if your transformed embeddings can be mathematically ""reversed"" to reconstruct the original sensitive PII?",Embeddings,Model Training,Data Scientist,Yes/No/partical/Non-applicable ,NO,YES,False,,,,,2.0,R_AR_179|R_AR_180,8.04,8.04,3.0,4.0,1.3334,High
AR_90,"Is every ""missing value"" filled in by your processing logic tagged with metadata, so the model knows it is making a decision based on ""Synthetic"" data?",Data Processing,All Models,Data Scientist,Yes/No/partical/Non-applicable ,NO,YES,False,,,,,2.0,R_AR_181|R_AR_182,5.46,5.46,3.0,3.0,1.3334,Medium
AR_91,Is the specific version of the transformation code (ETL) cryptographically linked to the specific version of the model it produced?,Data Processing,Production AI,Privacy Officer,Yes/No/partical/Non-applicable ,NO,YES,False,,,,,1.0,R_AR_183,5.74,5.74,3.0,3.0,0.3333,Medium
AR_92,"Does your pipeline include an ""Input Sanitization"" layer that strips out hidden characters or noise designed to trigger an adversarial attack?",Data Processing,All,Data Scientist,Yes/No/partical/Non-applicable ,NO,YES,False,,,,,2.0,R_AR_185|R_AR_186,9.7,9.7,4.0,4.0,1.3334,High
AR_93,"Do you monitor for ""Information Entropy"" to ensure that your transformation (like PCA or compression) isn't stripping away the nuances required for safe decision-making?",LLM / Model Layer,Training Data,Data Scientist,Yes/No/partical/Non-applicable ,NO,YES,False,,,,,2.0,R_AR_187|R_AR_188,6.03,6.03,3.0,3.0,1.3334,Medium
AR_94,Can you automatically trace a specific AI output back through the model version to the exact raw data used to train it?,Feedback & Continuous Learning,All Models,Risk Officer,Yes/No/partical/Non-applicable ,NO,YES,False,,,,,2.0,R_AR_189|R_AR_190,8.65,8.65,3.0,5.0,1.3334,High
AR_95,"Does the catalog automatically flag ""Stale Metadata"" if the underlying data source has changed its schema or volume in the last 24 hours?",Data Processing,Training Data,Data Scientist,Yes/No/partical/Non-applicable ,NO,YES,False,,,,,2.0,R_AR_191|R_AR_192,6.59,6.59,4.0,3.0,1.3334,Medium
AR_96,"Is the ""Original Purpose"" of data collection (e.g., Marketing vs. Support) hard-coded into the metadata for every dataset?",Data Processing,Production AI,Cloud Architect,Yes/No/partical/Non-applicable ,NO,YES,False,,,,,2.0,R_AR_193|R_AR_194,7.28,7.28,3.0,4.0,1.3334,Medium
AR_97,"Is every AI-ready data asset assigned to a human ""Data Steward"" who is alerted when the asset's quality score drops?",Data Processing,All,Data Scientist,Yes/No/partical/Non-applicable ,NO,YES,False,,,,,2.0,R_AR_195|R_AR_196,5.19,5.19,3.0,3.0,1.3334,Medium
AR_98,"Does the catalog use AI to automatically discover and tag ""Shadow PII"" (hidden sensitive info) that humans might have missed?",Data Processing,All,Data Analyst,Yes/No/partical/Non-applicable ,NO,YES,False,,,,,2.0,R_AR_197|R_AR_198,10.2,10.2,4.0,4.0,1.3334,High
AR_99,"Are ""Usage Policies"" (e.g., ""Do not use for Credit Scoring"") embedded in the metadata and programmatically enforced?",Data Processing,All,Data Analyst,Yes/No/partical/Non-applicable ,NO,YES,False,,,,,1.0,R_AR_199,7.28,7.28,3.0,4.0,0.3333,Medium
AR_100,"Do you have real-time alerts that trigger when the statistical distribution of your data ""drifts"" (changes) from the original training set?",Monitoring & Evaluation,Sensitive Data AI,Privacy Officer,Yes/No/partical/Non-applicable ,NO,YES,False,,,,,2.0,R_AR_201|R_AR_202,8.78,8.78,4.0,4.0,1.3334,High
AR_101,Can you programmatically prove—within 72 hours—exactly which data was used to train a specific model if a regulator audits you?,Feedback & Continuous Learning,All,Data Analyst,Yes/No/partical/Non-applicable ,NO,YES,False,,,,,2.0,R_AR_203|R_AR_204,7.83,7.83,3.0,5.0,1.3334,Medium
AR_102,"Do you have a ""Quality Gate"" that prevents AI-generated (synthetic) data from accidentally ""looping back"" into your training sets?",Data Processing,Model Training,MLOps Lead,Yes/No/partical/Non-applicable ,NO,YES,False,,,,,2.0,R_AR_205|R_AR_206,9.7,9.7,4.0,4.0,1.3334,High
AR_103,"Is there a mandatory human review for any data quality ""Exceptions"" before that data is allowed to enter a high-risk model?",Monitoring & Evaluation,Regulated AI,Compliance Mgr,Yes/No/partical/Non-applicable ,NO,YES,False,,,,,2.0,R_AR_207|R_AR_208,6.92,6.92,3.0,4.0,1.3334,Medium
AR_104,"Are your data access policies ""Dynamic"" (checking user intent and risk level) rather than just ""Static"" (checking usernames)?",Data Processing,Model Training,Data Scientist,Yes/No/partical/Non-applicable ,NO,YES,False,,,,,2.0,R_AR_209|R_AR_210,7.65,7.65,3.0,4.0,1.3334,Medium
AR_105,"Do you conduct ""Adversarial Bias Testing"" on your data quality rules to ensure they aren't accidentally deleting minority group data?",Guardrails / Safety,All,Risk Officer,Yes/No/partical/Non-applicable ,NO,YES,False,,,,,2.0,R_AR_211|R_AR_212,7.65,7.65,3.0,4.0,1.3334,Medium
AR_106,"Do your data tags (e.g., ""Secret,"" ""PII"") stay attached to the data even when it is moved between different cloud systems or APIs?",Data Processing,All,Risk Officer,Yes/No/partical/Non-applicable ,NO,YES,False,,,,,2.0,R_AR_213|R_AR_214,9.7,9.7,4.0,4.0,1.3334,High
AR_107,"Do you enforce ""Identity-Based Decryption"" where data is only decrypted when a verified user/service calls the API, rather than having it ""ready"" in plaintext?",Application Layer,All Models,AI Lead,Yes/No/partical/Non-applicable ,NO,YES,False,,,,,2.0,R_AR_215|R_AR_216,9.7,9.7,4.0,4.0,1.3334,High
AR_108,"Do your AI Agents have their own unique, ""Least-Privilege"" API keys that restrict them to specific data rows rather than the entire database?",Tools & API Integrations,Cloud AI,Privacy Officer,Yes/No/partical/Non-applicable ,NO,YES,False,,,,,2.0,R_AR_217|R_AR_218,12.13,12.13,4.0,5.0,1.3334,Critical
AR_109,"Does your API automatically throttle or block requests if it detects an unusual pattern of ""Data Scraping"" (e.g., thousands of queries in a few seconds)?",Tools & API Integrations,All,Risk Officer,Yes/No/partical/Non-applicable ,NO,YES,False,,,,,2.0,R_AR_219|R_AR_220,9.23,9.23,4.0,4.0,1.3334,High
AR_110,"Do you have a ""Prompt Firewall"" at the API level that inspects every request for ""Indirect Prompt Injections"" before it hits the data?",Guardrails / Safety,API Use,Security Engineer,Yes/No/partical/Non-applicable ,NO,YES,False,,,,,2.0,R_AR_221|R_AR_222,15.94,15.94,5.0,5.0,1.3334,Critical
AR_111,"Are your API tokens ""Short-Lived"" (expiring in minutes) and restricted to specific IP addresses or geographic regions?",Tools & API Integrations,API Use,Security Engineer,Yes/No/partical/Non-applicable ,NO,YES,False,,,,,2.0,R_AR_223|R_AR_224,9.7,9.7,4.0,4.0,1.3334,High
AR_112,"Do you use automated tools to scan for ""Ghost"" or ""Zombie"" APIs—old endpoints that developers forgot to turn off but still have data access?",Tools & API Integrations,API Use,Security Mgr,Yes/No/partical/Non-applicable ,NO,YES,False,,,,,2.0,R_AR_225|R_AR_226,8.04,8.04,3.0,4.0,1.3334,High
AR_113,"Does the API monitor where the data is being sent, blocking any attempts to send large datasets to unauthorized external IP addresses?",Tools & API Integrations,API Use,Security Engineer,Yes/No/partical/Non-applicable ,NO,YES,False,,,,,2.0,R_AR_227|R_AR_228,10.2,10.2,4.0,4.0,1.3334,High
AR_114,"Do you have automated alerts for ""Input Drift"" (when the real-world data starts looking statistically different from your training data)?",Monitoring & Evaluation,All Models,MLOps Lead,Yes/No/partical/Non-applicable ,NO,YES,False,,,,,2.0,R_AR_229|R_AR_230,8.78,8.78,4.0,4.0,1.3334,High
AR_115,"Can your monitoring tools correlate a model's ""bad"" output back to a specific upstream data transformation or ingestion error?",Feedback & Continuous Learning,All,MLOps Lead,Yes/No/partical/Non-applicable ,NO,YES,False,,,,,2.0,R_AR_231|R_AR_232,6.92,6.92,3.0,4.0,1.3334,Medium
AR_116,"Do you monitor ""Token Velocity"" and cost-per-resolution in real-time to detect recursive agent loops or ""Retry Storms""?",Monitoring & Evaluation,Model Training,MLOps Lead,Yes/No/partical/Non-applicable ,NO,YES,False,,,,,2.0,R_AR_233|R_AR_234,6.59,6.59,4.0,3.0,1.3334,Medium
AR_117,"Does your system alert you when the ""Ground Truth"" data in your Vector Database (RAG) is older than your business's decision cycle?",Knowledge Base,Production AI,Data Scientist,Yes/No/partical/Non-applicable ,NO,YES,False,,,,,2.0,R_AR_235|R_AR_236,6.92,6.92,4.0,3.0,1.3334,Medium
AR_118,"Do you monitor the ""Intent"" of autonomous agents, flagging when an agent's actions deviate from its predefined ""Policy Envelope""?",Orchestration / Agents,All Models,MLOps Lead,Yes/No/partical/Non-applicable ,NO,YES,False,,,,,2.0,R_AR_237|R_AR_238,10.2,10.2,4.0,4.0,1.3334,High
AR_119,"Do you automatically run a ""Gold Standard"" test suite against your pipeline every hour to ensure updates haven't introduced new biases?",Feedback & Continuous Learning,Production AI,ML Engineer,Yes/No/partical/Non-applicable ,NO,YES,False,,,,,2.0,R_AR_239|R_AR_240,6.92,6.92,3.0,4.0,1.3334,Medium
AR_120,"Is your AI data monitoring integrated into your central IT ""Single Pane of Glass"" (e.g., OpenTelemetry) rather than sitting in a siloed tool?",Monitoring & Evaluation,All Models,MLOps Lead,Yes/No/partical/Non-applicable ,NO,YES,False,,,,,2.0,R_AR_241|R_AR_242,5.19,5.19,3.0,3.0,1.3334,Medium
AR_121,"Do your AI accelerators have mitigations against ""GATEBLEED"" or similar side-channel attacks that leak training data via power-gating fluctuations?",Monitoring & Evaluation,All Models,AI Lead,Yes/No/partical/Non-applicable ,NO,YES,False,,,,,2.0,R_AR_243|R_AR_244,5.64,5.64,2.0,4.0,1.3334,Medium
AR_122,Have you allocated at least 75% of your compute budget for Inference (serving) rather than just Training?,Monitoring & Evaluation,All Models,MLOps Lead,Yes/No/partical/Non-applicable ,NO,YES,False,,,,,1.0,R_AR_245,3.29,3.29,3.0,2.0,0.3333,Low
AR_123,"If your cloud provider faces a 3-month GPU shortage (like the ""2025 Crunch""), can you switch to an alternative cluster or on-prem hardware in <48 hours?",Monitoring & Evaluation,Model Training,Security Mgr,Yes/No/partical/Non-applicable ,NO,YES,False,,,,,2.0,R_AR_247|R_AR_248,7.28,7.28,3.0,4.0,1.3334,Medium
AR_124,"Does your compute layer have hardware-level mitigations against power-fluctuation attacks (Side-Channel) that can ""leak"" training data?",Guardrails / Safety,Model Training,Cloud Architect,Yes/No/partical/Non-applicable ,NO,YES,False,,,,,2.0,R_AR_249|R_AR_250,5.64,5.64,2.0,4.0,1.3334,Medium
AR_125,"Are you using ""Dynamic GPU Partitioning"" (sharing one GPU for many small tasks) rather than locking a full GPU for every job?",Monitoring & Evaluation,Production AI,Cloud Architect,Yes/No/partical/Non-applicable ,NO,YES,False,,,,,2.0,R_AR_251|R_AR_252,5.46,5.46,3.0,3.0,1.3334,Medium
AR_126,Does the infrastructure verify the cryptographic signature of the GPU/TPU firmware every time it reboots?,Monitoring & Evaluation,Model Training,Cloud Architect,Yes/No/partical/Non-applicable ,NO,YES,False,,,,,2.0,R_AR_253|R_AR_254,8.04,8.04,3.0,4.0,1.3334,High
AR_127,"Does your compute layer have an automated ""Circuit Breaker"" to kill an AI Agent's session if it enters an infinite recursive loop?",Orchestration / Agents,Production AI,Cloud Architect,Yes/No/partical/Non-applicable ,NO,YES,False,,,,,2.0,R_AR_255|R_AR_256,9.23,9.23,4.0,4.0,1.3334,High
AR_128,Is your compute architecture optimized for Inference (low latency) separately from Training (high throughput)?,LLM / Model Layer,Production AI,Cloud Architect,Yes/No/partical/Non-applicable ,NO,YES,False,,,,,2.0,R_AR_257|R_AR_258,5.19,5.19,3.0,3.0,1.3334,Medium
AR_129,Does your network use RDMA (Remote Direct Memory Access) to bypass the CPU and move data directly from storage to GPU memory?,Orchestration / Agents,Production AI,Cloud Architect,Yes/No/partical/Non-applicable ,NO,YES,False,,,,,2.0,R_AR_259|R_AR_260,5.74,5.74,3.0,3.0,1.3334,Medium
AR_130,"Can your storage layer ingest a full model ""Checkpoint"" (terabytes of data) in under 60 seconds without pausing the training cluster?",Data Processing,Model Training,Cloud Architect,Yes/No/partical/Non-applicable ,NO,YES,False,,,,,2.0,R_AR_261|R_AR_262,5.46,5.46,3.0,3.0,1.3334,Medium
AR_131,"Is your storage architecture ""Disaggregated,"" allowing you to scale capacity (Petabytes) independently of compute performance (IOPS)?",Data Processing,Production AI,Cloud Architect,Yes/No/partical/Non-applicable ,NO,YES,False,,,,,2.0,R_AR_263|R_AR_264,5.46,5.46,3.0,3.0,1.3334,Medium
AR_132,"Do your training datasets and your production Vector Database (RAG) share a unified, searchable namespace?Yes / No",Vector Database,Model Training,Cloud Architect,Yes/No/partical/Non-applicable ,NO,YES,False,,,,,2.0,R_AR_265|R_AR_266,7.65,7.65,3.0,4.0,1.3334,Medium
AR_133,"Do you have automated ""Egress Alerts"" that trigger if an AI agent or process begins moving more than 5TB of data to a different cloud region?",Monitoring & Evaluation,Production AI,Cloud Architect,Yes/No/partical/Non-applicable ,NO,YES,False,,,,,2.0,R_AR_267|R_AR_268,6.92,6.92,3.0,4.0,1.3334,Medium
AR_134,"Are you using NVMe-over-Fabrics (NVMe-oF) for all ""Hot"" training data, with automated tiering to cold object storage for archived models?",Data Processing,Model Training,ML Engineer,Yes/No/partical/Non-applicable ,NO,YES,False,,,,,2.0,R_AR_269|R_AR_270,2.43,2.43,2.0,2.0,1.3334,Low
AR_135,"Does your orchestrator automatically place distributed training jobs on nodes with the shortest physical ""interconnect"" distance?",Monitoring & Evaluation,Cloud AI,MLOps Lead,Yes/No/partical/Non-applicable ,NO,YES,False,,,,,2.0,R_AR_271|R_AR_272,3.64,3.64,3.0,2.0,1.3334,Low
AR_136,Do you use admission controllers (like Kyverno or OPA) to automatically block any AI pod that lacks resource limits or approved security tags?,Orchestration / Agents,Model Training,Cloud Architect,Yes/No/partical/Non-applicable ,NO,YES,False,,,,,2.0,R_AR_273|R_AR_274,6.92,6.92,3.0,4.0,1.3334,Medium
AR_137,"Does your cluster management tool alert you within 60 seconds if a manual change is made to a ""Golden"" configuration file?",Monitoring & Evaluation,Model Training,DevOps Engineer,Yes/No/partical/Non-applicable ,NO,YES,False,,,,,2.0,R_AR_275|R_AR_276,6.92,6.92,3.0,4.0,1.3334,Medium
AR_138,"Are you using Kata Containers or a similar VM-based isolation layer to ensure one tenant's AI job cannot ""see"" the memory of another job on the same GPU?",Guardrails / Safety,Production AI,DevOps Engineer,Yes/No/partical/Non-applicable ,NO,YES,False,,,,,2.0,R_AR_277|R_AR_278,7.65,7.65,3.0,4.0,1.3334,Medium
AR_139,Does your orchestration layer automatically restart failed jobs from the last successful checkpoint without human intervention?,Orchestration / Agents,Production AI,DevOps Engineer,Yes/No/partical/Non-applicable ,NO,YES,False,,,,,2.0,R_AR_279|R_AR_280,3.46,3.46,3.0,2.0,1.3334,Low
AR_140,Are your AI workloads running in Trusted Execution Environments (hardware enclaves) to protect data and model weights from being viewed by the cloud provider or host OS?,Guardrails / Safety,Production AI,Cloud Architect,Yes/No/partical/Non-applicable ,NO,YES,False,,,,,2.0,R_AR_281|R_AR_282,5.36,5.36,2.0,4.0,1.3334,Medium
AR_141,"Do you have automated infrastructure blocks that prevent any AI system from starting if it doesn't meet specific compliance tags (e.g., ""High-Risk AI"" per EU AI Act)?",Guardrails / Safety,Production AI,Cloud Architect,Yes/No/partical/Non-applicable ,NO,YES,False,,,,,2.0,R_AR_283|R_AR_284,6.92,6.92,3.0,4.0,1.3334,Medium
AR_142,"Does every AI Agent and automated script have a unique, cryptographically verifiable identity that is rotated every 24 hours?",Guardrails / Safety,Model Training,Cloud Architect,Yes/No/partical/Non-applicable ,NO,YES,False,,,,,2.0,R_AR_285|R_AR_286,9.7,9.7,4.0,4.0,1.3334,High
AR_143,"re your system logs (access, training, and inference) stored in an immutable, ""Write-Once"" vault that cannot be altered even by a System Administrator?",Monitoring & Evaluation,Regulated AI,Compliance Mgr,Yes/No/partical/Non-applicable ,NO,YES,False,,,,,2.0,R_AR_287|R_AR_288,8.65,8.65,3.0,5.0,1.3334,High
AR_144,"Is your AI cluster ""Microsegmented"" so that an infected GPU node cannot talk to your internal HR or Financial databases?",Guardrails / Safety,All Models,MLOps Lead,Yes/No/partical/Non-applicable ,NO,YES,False,,,,,2.0,R_AR_289|R_AR_290,11.54,11.54,4.0,5.0,1.3334,High
AR_145,"Do you perform monthly ""AI Red Teaming"" specifically on your infrastructure to test if your firewalls can detect Indirect Prompt Injections or Model Inversion?",Guardrails / Safety,Model Training,SysAdmin,Yes/No/partical/Non-applicable ,NO,YES,False,,,,,2.0,R_AR_291|R_AR_292,9.1,9.1,3.0,5.0,1.3334,High
