QID,Option_Order,Answer_Option
AR_16,4,Not Applicable - No manual dataset changes
AR_17,1,Yes - Strong enforced separation
AR_17,2,Partial - Logical but not enforced separation
AR_17,3,No - No separation
AR_17,4,Not Applicable - No user input processing
AR_18,1,Yes - Automated detection and blocking
AR_18,2,Partial - Detection without full blocking
AR_18,3,No - No jailbreak protection
AR_18,4,Not Applicable - No user interaction
AR_19,1,Yes - Auto fallback with safe responses
AR_19,2,Partial - Partial fallback handling
AR_19,3,No - No failure handling
AR_19,4,Not Applicable - No real-time inference
AR_20,1,Yes - Token-level DLP monitoring
AR_20,2,Partial - Basic DLP scanning
AR_20,3,No - No DLP controls
AR_20,4,Not Applicable - No sensitive data handled
AR_21,1,Yes - Local NER ensures full redaction
AR_21,2,Partial - Redaction with external exposure
AR_21,3,No - No PII redaction
AR_21,4,Not Applicable - No PII processed
AR_22,1,Yes - Automated mitigation and response
AR_22,2,Partial - Manual or delayed response
AR_22,3,No - No residual risk handling
AR_22,4,Not Applicable - No sensitive data
AR_23,1,Yes - Strict network separation enforced
AR_23,2,Partial - Partial separation
AR_23,3,No - No separation
AR_23,4,Not Applicable - No LLM network segregation needed
AR_24,1,Yes - Full sanitization before input
AR_24,2,Partial - Basic sanitization only
AR_24,3,No - No sanitization
AR_24,4,Not Applicable - No RAG used
AR_25,1,Yes - Metrics tracked with defined actions
AR_25,2,Partial - Metrics tracked without clear action
AR_25,3,No - No metrics or response plan
AR_25,4,Not Applicable - No detection system
AR_26,1,Yes - Dynamic unsupervised calibration used
AR_26,2,Partial - Mixed dynamic and static rules
AR_26,3,No - Static rules only
AR_26,4,Not Applicable - No anomaly detection
AR_27,1,Yes - Automatic PII masking enforced
AR_27,2,Partial - Partial redaction implemented
AR_27,3,No - No PII protection
AR_27,4,Not Applicable - No external data inputs
AR_28,1,Yes - Fully isolated ephemeral sandbox
AR_28,2,Partial - Partial isolation implemented
AR_28,3,No - No sandbox isolation
AR_28,4,Not Applicable - No web scraping
AR_29,1,Yes - DLP blocks classified data pasting
AR_29,2,Partial - Limited DLP coverage
AR_29,3,No - No DLP controls
AR_29,4,Not Applicable - No web-based AI access
AR_30,1,Low (0-33%)
AR_30,2,Moderate (34-66%)
AR_30,3,High (67-100%)
AR_30,4,Not Applicable
AR_31,1,Yes - Auto termination on anomalies
AR_31,2,Partial - Monitoring without auto termination
AR_31,3,No - No circuit breakers
AR_31,4,Not Applicable - No AI agent sessions
AR_32,1,Yes - TEEs protect model weights
AR_32,2,Partial - Partial encryption only
AR_32,3,No - No secure enclaves
AR_32,4,Not Applicable - No encrypted weights needed
AR_33,1,Yes - Hard geofencing enforced
AR_33,2,Partial - Soft geofencing controls
AR_33,3,No - No geofencing
AR_33,4,Not Applicable - Single jurisdiction only
AR_34,1,Yes - Identity-based HYOK/CMK encryption
AR_34,2,Partial - Standard encryption only
AR_34,3,No - No encryption
AR_34,4,Not Applicable - No sensitive data storage
AR_35,1,Yes - Object Lock strictly enforced
AR_35,2,Partial - Retention without Object Lock
AR_35,3,No - No immutability controls
AR_35,4,Not Applicable - No cloud storage
AR_36,1,Yes - Isolated with PIR protection
AR_36,2,Partial - Isolated without PIR
AR_36,3,No - No isolation
AR_36,4,Not Applicable - No vector database
AR_37,1,Yes - Strict separation with entropy monitoring
AR_37,2,Partial - Separation without entropy checks
AR_37,3,No - No separation enforced
AR_37,4,Not Applicable - No data transformations
AR_38,1,Yes - SMOTE strictly audited
AR_38,2,Partial - Basic SMOTE validation
AR_38,3,No - No SMOTE auditing
AR_38,4,Not Applicable - No SMOTE used
AR_39,1,Yes - Reversibility tested and prevented
AR_39,2,Partial - Tested but not fully mitigated
AR_39,3,No - No reversibility testing
AR_39,4,Not Applicable - No PII in embeddings
AR_40,1,Yes - Boolean flags for imputed values
AR_40,2,Partial - Imputation tracked incompletely
AR_40,3,No - No imputation tracking
AR_40,4,Not Applicable - No missing data
AR_41,1,Yes - Full deterministic reproducibility enforced
AR_41,2,Partial - Partial reproducibility
AR_41,3,No - No reproducibility
AR_41,4,Not Applicable - No ETL pipeline
AR_42,1,Yes - Adversarial input sanitization enforced
AR_42,2,Partial - Basic sanitization only
AR_42,3,No - No sanitization
AR_42,4,Not Applicable - No external inputs
AR_43,1,Yes - Automated MI score verification
AR_43,2,Partial - Manual verification only
AR_43,3,No - No MI verification
AR_43,4,Not Applicable - No vectorization
AR_44,1,Yes - Immutable RAG injection logs
AR_44,2,Partial - Logs exist but mutable
AR_44,3,No - No RAG logging
AR_44,4,Not Applicable - No RAG usage
AR_45,1,Yes - Real-time Kafka streaming
AR_45,2,Partial - Near real-time updates
AR_45,3,No - Batch scans only
AR_45,4,Not Applicable - No data catalog
AR_46,1,Yes - Auto revocation on reclassification
AR_46,2,Partial - Manual revocation required
AR_46,3,No - Static IAM policies
AR_46,4,Not Applicable - No sensitivity tiers
AR_47,1,Yes - Mandatory steward with review
AR_47,2,Partial - Stewards without mandatory review
AR_47,3,No - No data stewardship
AR_47,4,Not Applicable - No high-risk models
AR_48,1,Yes - Auto scanning for shadow PII
AR_48,2,Partial - Manual scanning only
AR_48,3,No - No PII discovery
AR_48,4,Not Applicable - No PII present
AR_49,1,Yes - Policies embedded and enforced
AR_49,2,Partial - Policies documented not enforced
AR_49,3,No - No usage policies
AR_49,4,Not Applicable - No cross-system data
AR_50,1,Yes - Continuous rolling baseline calibration
AR_50,2,Partial - Periodic baseline updates
AR_50,3,No - Static baselines only
AR_50,4,Not Applicable - No drift detection
AR_51,1,Yes - Automated litigation hold capability
AR_51,2,Partial - Manual e-Discovery process
AR_51,3,No - No e-Discovery capability
AR_51,4,Not Applicable - No legal exposure
AR_52,1,Yes - Quality gate prevents synthetic loops
AR_52,2,Partial - Manual checks only
AR_52,3,No - No loop prevention
AR_52,4,Not Applicable - No synthetic data
AR_53,1,Yes - Auto quarantine with cryptographic lock
AR_53,2,Partial - Quarantine without crypto lock
AR_53,3,No - No quarantine queue
AR_53,4,Not Applicable - No quality monitoring
AR_54,1,Yes - Dynamic Zero Trust with metadata
AR_54,2,Partial - Basic access controls
AR_54,3,No - Static access policies
AR_54,4,Not Applicable - Single tenant only
AR_55,1,Yes - Adversarial perturbations tested
AR_55,2,Partial - Basic edge case testing
AR_55,3,No - No adversarial testing
AR_55,4,Not Applicable - No ETL pipeline
AR_56,1,Yes - MAC enforced at OS/hypervisor
AR_56,2,Partial - Application-level controls only
AR_56,3,No - No MAC implementation
AR_56,4,Not Applicable - No tagged data
AR_57,1,Yes - Ephemeral keys per API call
AR_57,2,Partial - Session-based keys
AR_57,3,No - Static encryption keys
AR_57,4,Not Applicable - No encryption needed
AR_58,1,Yes - Active DLP masking proxy
AR_58,2,Partial - Passive monitoring only
AR_58,3,No - No DLP proxy
AR_58,4,Not Applicable - No agent database access
AR_59,1,Yes - Crypto PoW challenges enforced
AR_59,2,Partial - Rate limiting only
AR_59,3,No - No botnet protection
AR_59,4,Not Applicable - No public API
AR_60,1,Yes - Prompt firewall deployed
AR_60,2,Partial - Basic input validation
AR_60,3,No - No prompt inspection
AR_60,4,Not Applicable - No external data sources
AR_61,1,Yes - Minute-expiry geofenced tokens
AR_61,2,Partial - Hour-expiry tokens
AR_61,3,No - Long-lived tokens
AR_61,4,Not Applicable - No API tokens
AR_62,1,Yes - Auto rejection of invalid schemas
AR_62,2,Partial - Manual validation
AR_62,3,No - No schema validation
AR_62,4,Not Applicable - No API endpoints
AR_63,1,Low (0-33%)
AR_63,2,Moderate (34-66%)
AR_63,3,High (67-100%)
AR_63,4,Not Applicable
AR_64,1,Yes - Auto routing to HITL queue
AR_64,2,Partial - Alerts without auto routing
AR_64,3,No - No safe degradation
AR_64,4,Not Applicable - No drift detection
AR_65,1,Yes - Auto RCA to poisoned nodes
AR_65,2,Partial - Manual RCA process
AR_65,3,No - No RCA capability
AR_65,4,Not Applicable - No hallucination tracking
AR_66,1,Yes - Deterministic cycle detection enforced
AR_66,2,Partial - Basic loop detection
AR_66,3,No - No cycle detection
AR_66,4,Not Applicable - No multi-agent chains
AR_67,1,Yes - Automated TTL expiry flags
AR_67,2,Partial - Manual expiry management
AR_67,3,No - No TTL enforcement
AR_67,4,Not Applicable - No temporal data
AR_68,1,Yes - Strict intent-action matching
AR_68,2,Partial - Basic action validation
AR_68,3,No - No intent monitoring
AR_68,4,Not Applicable - No autonomous actions
AR_69,1,Yes - Automated hourly bias testing
AR_69,2,Partial - Daily or weekly testing
AR_69,3,No - No automated testing
AR_69,4,Not Applicable - No pipeline updates
AR_70,1,Yes - Integrated into central dashboard
AR_70,2,Partial - Partial integration
AR_70,3,No - Siloed monitoring tools
AR_70,4,Not Applicable - No AI monitoring
AR_71,1,Yes - Hardware mitigations deployed
AR_71,2,Partial - Software mitigations only
AR_71,3,No - No side-channel protection
AR_71,4,Not Applicable - No GPU accelerators
AR_72,1,Yes - Over 75% allocated to inference
AR_72,2,Partial - 50-75% for inference
AR_72,3,No - Under 50% for inference
AR_72,4,Not Applicable - No inference workload
AR_73,1,Yes - Sub-48hr alternative cluster ready
AR_73,2,Partial - Failover possible but slow
AR_73,3,No - No failover capability
AR_73,4,Not Applicable - No GPU dependency
AR_74,1,Yes - Hardware-level side-channel mitigations
AR_74,2,Partial - Software monitoring only
AR_74,3,No - No power-fluctuation protection
AR_74,4,Not Applicable - No sensitive training data
AR_75,1,Yes - Dynamic GPU sharing enabled
AR_75,2,Partial - Some GPU sharing
AR_75,3,No - Full GPU per job
AR_75,4,Not Applicable - No GPU usage
AR_76,1,Yes - Crypto signature verified on boot
AR_76,2,Partial - Periodic verification only
AR_76,3,No - No firmware verification
AR_76,4,Not Applicable - No GPU/TPU infrastructure
AR_77,1,Yes - Hard step limits enforced
AR_77,2,Partial - Soft limits configured
AR_77,3,No - No step boundaries
AR_77,4,Not Applicable - No agent tool use
AR_78,1,Yes - Separate optimized architectures
AR_78,2,Partial - Shared with some optimization
AR_78,3,No - Single architecture for both
AR_78,4,Not Applicable - Only one workload type
AR_79,1,Yes - RDMA for direct GPU access
AR_79,2,Partial - RDMA for some workloads
AR_79,3,No - No RDMA implementation
AR_79,4,Not Applicable - No GPU storage transfers
AR_80,1,Yes - Sub-60-second checkpoint ingestion
AR_80,2,Partial - Ingestion with brief pauses
AR_80,3,No - Long ingestion with disruption
AR_80,4,Not Applicable - No checkpoint ingestion
AR_81,1,Yes - Fully disaggregated storage
AR_81,2,Partial - Partially disaggregated
AR_81,3,No - Coupled storage and compute
AR_81,4,Not Applicable - No scaling requirements
AR_82,1,Yes - Unified Data Mesh implemented
AR_82,2,Partial - Partial federation
AR_82,3,No - No Data Mesh
AR_82,4,Not Applicable - Single domain only
AR_83,1,Yes - Auto egress termination on spikes
AR_83,2,Partial - Alerts without auto termination
AR_83,3,No - No billing alerts
AR_83,4,Not Applicable - No cloud egress
AR_84,1,Yes - NVMe-oF with auto tiering
AR_84,2,Partial - NVMe-oF without auto tiering
AR_84,3,No - No NVMe-oF
AR_84,4,Not Applicable - No tiered storage needs
AR_85,1,Yes - Auto placement by interconnect distance
AR_85,2,Partial - Manual placement optimization
AR_85,3,No - No placement optimization
AR_85,4,Not Applicable - No distributed training
AR_86,1,Yes - Admission controllers block non-compliant pods
AR_86,2,Partial - Admission controls partially enforced
AR_86,3,No - No admission controls
AR_86,4,Not Applicable - No containerized AI
AR_87,1,Yes - Immutable infrastructure enforced
AR_87,2,Partial - Limited direct access allowed
AR_87,3,No - Direct access permitted
AR_87,4,Not Applicable - No production AI nodes
AR_88,1,Yes - TEEs guarantee data-in-use privacy
AR_88,2,Partial - Software-only isolation
AR_88,3,No - No TEE protection
AR_88,4,Not Applicable - No shared GPU infrastructure
AR_89,1,Yes - Auto restart from checkpoints
AR_89,2,Partial - Manual restart required
AR_89,3,No - No checkpoint restart
AR_89,4,Not Applicable - No job orchestration
AR_90,1,Yes - TEEs enforced for workloads
AR_90,2,Partial - Some workloads in TEEs
AR_90,3,No - No TEE usage
AR_90,4,Not Applicable - No cloud workloads
AR_91,1,Yes - Auto blocks for missing tags
AR_91,2,Partial - Manual compliance checks
AR_91,3,No - No compliance blocks
AR_91,4,Not Applicable - No compliance requirements
AR_92,1,Yes - Dedicated kill switch per agent
AR_92,2,Partial - Kill switch partially automated
AR_92,3,No - No kill switch
AR_92,4,Not Applicable - No AI agents
AR_93,1,Yes - Immutable tamper-proof log vault
AR_93,2,Partial - Logs with limited protection
AR_93,3,No - Mutable logs
AR_93,4,Not Applicable - No log retention
AR_94,1,Yes - Default deny with whitelisting
AR_94,2,Partial - Limited egress restrictions
AR_94,3,No - Open egress allowed
AR_94,4,Not Applicable - No GPU nodes
AR_95,1,Yes - AI-WAF blocks semantic attacks
AR_95,2,Partial - Traditional WAF only
AR_95,3,No - No WAF protection
AR_95,4,Not Applicable - No API gateway
AR_96,1,Yes - Blue/Green with zero downtime
AR_96,2,Partial - Deployment with some downtime
AR_96,3,No - No deployment strategy
AR_96,4,Not Applicable - No vector database
AR_97,1,Yes - Auto sanitization before vectorization
AR_97,2,Partial - Basic sanitization only
AR_97,3,No - No sanitization
AR_97,4,Not Applicable - No knowledge-base ingestion
AR_98,1,Yes - k-anonymity or differential privacy applied
AR_98,2,Partial - Limited anonymization applied
AR_98,3,No - No anonymization
AR_98,4,Not Applicable - No sensitive embeddings
AR_99,1,Yes - TTL attributes enforce expiry
AR_99,2,Partial - Manual expiry management
AR_99,3,No - No TTL enforcement
AR_99,4,Not Applicable - No temporal RAG data
AR_100,1,Yes - Cryptographic RLS enforced
AR_100,2,Partial - Basic access controls
AR_100,3,No - No RLS policies
AR_100,4,Not Applicable - Single user only
AR_101,1,Yes - Physical namespace isolation enforced
AR_101,2,Partial - Logical isolation only
AR_101,3,No - No tenant isolation
AR_101,4,Not Applicable - Single tenant only
AR_102,1,Yes - Auto regression testing on prompts
AR_102,2,Partial - Manual testing only
AR_102,3,No - No regression testing
AR_102,4,Not Applicable - No prompt templates
AR_103,1,Yes - Auto fail-closed on violations
AR_103,2,Partial - Alerts without enforced fail-closed
AR_103,3,No - No safe failure mode
AR_103,4,Not Applicable - No business rules
AR_104,1,Low (0-33%)
AR_104,2,Moderate (34-66%)
AR_104,3,High (67-100%)
AR_104,4,Not Applicable
AR_105,1,Yes - Daily-rotated crypto identities
AR_105,2,Partial - Static agent identities
AR_105,3,No - Shared human credentials
AR_105,4,Not Applicable - No AI agents
AR_106,1,Yes - FPE for sensitive fields
AR_106,2,Partial - Standard encryption only
AR_106,3,No - No FPE
AR_106,4,Not Applicable - No sensitive data processing
AR_107,1,Yes - Active scanning and pruning
AR_107,2,Partial - Manual reviews only
AR_107,3,No - No relationship scanning
AR_107,4,Not Applicable - No Knowledge Graphs
AR_108,1,Yes - JIT tokens revoked post-inference
AR_108,2,Partial - Session-based tokens
AR_108,3,No - Long-lived tokens
AR_108,4,Not Applicable - No backend access
AR_109,1,Yes - Full traceability to model/human
AR_109,2,Partial - Model traceability only
AR_109,3,No - No modification traceability
AR_109,4,Not Applicable - No AI modifications
AR_110,1,Yes - Row limits enforced programmatically
AR_110,2,Partial - Application-level limits only
AR_110,3,No - No row limits
AR_110,4,Not Applicable - No database access
AR_111,1,Yes - Sliding-window rate limiters enforced
AR_111,2,Partial - Basic rate limiting
AR_111,3,No - No rate limiting
AR_111,4,Not Applicable - No API access
AR_112,1,Yes - Cryptographic shredding supported
AR_112,2,Partial - Manual deletion only
AR_112,3,No - No secure deletion
AR_112,4,Not Applicable - No encrypted embeddings
AR_113,1,Yes - Air-gapped with one-way sync
AR_113,2,Partial - Logical separation only
AR_113,3,No - Direct production access
AR_113,4,Not Applicable - No production databases
AR_114,1,Yes - FHE for encrypted inference
AR_114,2,Partial - Partial encryption only
AR_114,3,No - No FHE
AR_114,4,Not Applicable - No encrypted inference needs
AR_115,1,Yes - Auto scale-to-zero on anomalies
AR_115,2,Partial - Alerts without auto scaling
AR_115,3,No - No billing automation
AR_115,4,Not Applicable - No cloud infrastructure
AR_116,1,Yes - Shadow testing before rollout
AR_116,2,Partial - Limited A/B testing
AR_116,3,No - No shadow testing
AR_116,4,Not Applicable - No model deployments
AR_117,1,Yes - Intent classifiers validate alignment
AR_117,2,Partial - Manual validation only
AR_117,3,No - No alignment validation
AR_117,4,Not Applicable - No multi-agent chains
AR_118,1,Yes - Auto detection of rubber-stamping
AR_118,2,Partial - Limited automated monitoring
AR_118,3,No - No bias detection
AR_118,4,Not Applicable - No human approval gates
AR_119,1,Yes - Granular service isolation enforced
AR_119,2,Partial - Service groups only
AR_119,3,No - All-or-nothing shutdown
AR_119,4,Not Applicable - Single AI service
AR_120,1,Yes - Centralized landing zones enforced
AR_120,2,Partial - Partial governance coverage
AR_120,3,No - No centralized governance
AR_120,4,Not Applicable - No cloud infrastructure
AR_121,1,Yes - CSPM with auto remediation
AR_121,2,Partial - Detection without auto remediation
AR_121,3,No - No CSPM tools
AR_121,4,Not Applicable - No cloud storage
AR_122,1,Yes - SCPs block unapproved services
AR_122,2,Partial - Advisory policies only
AR_122,3,No - No SCPs
AR_122,4,Not Applicable - No cloud organization
AR_123,1,Yes - Formal escalation process exists
AR_123,2,Partial - Informal escalation only
AR_123,3,No - No escalation process
AR_123,4,Not Applicable - No cloud infrastructure
AR_124,1,Yes - Comprehensive physical security enforced
AR_124,2,Partial - Basic physical security
AR_124,3,No - No physical security
AR_124,4,Not Applicable - No physical hardware
AR_125,1,Yes - Continuous integrity checks enforced
AR_125,2,Partial - Periodic checks only
AR_125,3,No - No integrity checks
AR_125,4,Not Applicable - No AI accelerators
AR_126,1,Yes - Hardware memory encryption enabled
AR_126,2,Partial - Software encryption only
AR_126,3,No - No memory encryption
AR_126,4,Not Applicable - No AI nodes
AR_127,1,Yes - VEX framework prioritizes patches
AR_127,2,Partial - CVSS-based prioritization only
AR_127,3,No - No prioritization framework
AR_127,4,Not Applicable - No patch management
AR_128,1,Yes - IaC with auto scanning enforced
AR_128,2,Partial - Version control without scanning
AR_128,3,No - No IaC governance
AR_128,4,Not Applicable - No IaC usage
AR_129,1,Yes - Comprehensive privacy controls enforced
AR_129,2,Partial - Basic privacy controls
AR_129,3,No - No privacy controls
AR_129,4,Not Applicable - No personal data
AR_130,1,Yes - Real-time PII masking proxies
AR_130,2,Partial - Static masking only
AR_130,3,No - No masking proxies
AR_130,4,Not Applicable - No PII in analytics
AR_131,1,Yes - mTLS enforced for all services
AR_131,2,Partial - mTLS for some services
AR_131,3,No - No mTLS
AR_131,4,Not Applicable - No microservices
AR_132,1,Yes - Crypto hashes for joins
AR_132,2,Partial - Hashing for some datasets
AR_132,3,No - Plaintext joins
AR_132,4,Not Applicable - No dataset joins
AR_133,1,Yes - Physical geofencing enforced
AR_133,2,Partial - Soft geofencing controls
AR_133,3,No - No geofencing
AR_133,4,Not Applicable - Single region only
AR_134,1,Yes - Auto verification of labels
AR_134,2,Partial - Manual verification only
AR_134,3,No - No label verification
AR_134,4,Not Applicable - No data lakes
AR_135,1,1-2 (Low/Limited)
AR_135,2,3 (Moderate)
AR_135,3,4-5 (High/Strong)
AR_135,4,Not Applicable
AR_136,1,Yes - Strict VM-level microsegmentation
AR_136,2,Partial - Network-level isolation only
AR_136,3,No - No microsegmentation
AR_136,4,Not Applicable - Single tenant only
AR_137,1,Yes - Centralized gateway enforced
AR_137,2,Partial - Multiple gateways exist
AR_137,3,No - No API gateway
AR_137,4,Not Applicable - No API access
AR_138,1,Yes - Service Mesh with mTLS enforced
AR_138,2,Partial - mTLS without Service Mesh
AR_138,3,No - No Service Mesh
AR_138,4,Not Applicable - No microservices
AR_139,1,Yes - Comprehensive network security enforced
AR_139,2,Partial - Basic firewall protection
AR_139,3,No - No network security
AR_139,4,Not Applicable - No network infrastructure
AR_140,1,Yes - NTA detects slow exfiltration
AR_140,2,Partial - Basic traffic monitoring
AR_140,3,No - No NTA tools
AR_140,4,Not Applicable - No development environments
AR_141,1,Yes - Private fiber links enforced
AR_141,2,Partial - Private connectivity partially used
AR_141,3,No - Public internet transit
AR_141,4,Not Applicable - No hybrid transfers
AR_142,1,Yes - Comprehensive IAM with PAM/MFA
AR_142,2,Partial - Basic IAM without PAM
AR_142,3,No - No IAM framework
AR_142,4,Not Applicable - No user access
AR_143,1,Yes - PAM vault with recording/alerting
AR_143,2,Partial - PAM with limited monitoring
AR_143,3,No - No PAM controls
AR_143,4,Not Applicable - No emergency access
AR_144,1,Yes - Auto revocation within 60 minutes
AR_144,2,Partial - Revocation within 24 hours
AR_144,3,No - Manual revocation process
AR_144,4,Not Applicable - No employee access
AR_145,1,Yes - Hardware tokens mandated
AR_145,2,Partial - Optional hardware tokens
AR_145,3,No - Password-based authentication
AR_145,4,Not Applicable - No write access
AR_146,1,Yes - Caged with biometric access
AR_146,2,Partial - Physical controls without biometrics
AR_146,3,No - No physical caging
AR_146,4,Not Applicable - No physical data centers
AR_147,1,Yes - Strict tracking with crypto wipe
AR_147,2,Partial - Tracking without crypto wipe
AR_147,3,No - No asset tracking
AR_147,4,Not Applicable - No physical GPUs
AR_148,1,Yes - Change mgmt with drift detection
AR_148,2,Partial - Change mgmt without automation
AR_148,3,No - No change management
AR_148,4,Not Applicable - No configuration changes
AR_149,1,Yes - Crypto hashing for log integrity
AR_149,2,Partial - Basic log protection
AR_149,3,No - No log integrity controls
AR_149,4,Not Applicable - No logs retained
AR_150,1,Yes - SIEM aggregates all AI logs
AR_150,2,Partial - SIEM aggregates some logs
AR_150,3,No - No SIEM integration
AR_150,4,Not Applicable - No centralized logging
AR_151,1,Yes - Comprehensive ITOps workflows
AR_151,2,Partial - Basic incident management
AR_151,3,No - No ITOps workflows
AR_151,4,Not Applicable - No AI infrastructure
AR_152,1,Yes - Routine Chaos Engineering tests
AR_152,2,Partial - Ad-hoc testing only
AR_152,3,No - No resilience testing
AR_152,4,Not Applicable - No production environment
AR_153,1,Yes - Quarterly clean-room restoration tests
AR_153,2,Partial - Annual or infrequent tests
AR_153,3,No - No restoration testing
AR_153,4,Not Applicable - No backups
AR_154,1,Yes - SLOs halt development on violations
AR_154,2,Partial - SLOs tracked without enforcement
AR_154,3,No - No SLOs defined
AR_154,4,Not Applicable - No production systems
AR_155,1,Yes - Auto rejection for missing tags
AR_155,2,Partial - Tags recommended not enforced
AR_155,3,No - No tagging standards
AR_155,4,Not Applicable - No cloud resources
AR_156,1,1-2 (Low/Limited)
AR_156,2,3 (Moderate)
AR_156,3,4-5 (High/Strong)
AR_156,4,Not Applicable
AR_157,1,Yes - Spot instances for training
AR_157,2,Partial - Some spot usage
AR_157,3,No - On-demand instances only
AR_157,4,Not Applicable - No cloud training
AR_158,1,Yes - HPA hard-capped for cost control
AR_158,2,Partial - Soft limits configured
AR_158,3,No - No scaling caps
AR_158,4,Not Applicable - No Kubernetes autoscaling
AR_159,1,Yes - Granular tags enforced via IaC
AR_159,2,Partial - Tags recommended not enforced
AR_159,3,No - No tagging for chargebacks
AR_159,4,Not Applicable - No chargebacks needed
AR_160,1,Yes - Formal risk evaluation conducted
AR_160,2,Partial - Informal assessments only
AR_160,3,No - No risk evaluation
AR_160,4,Not Applicable - No cloud investments
AR_161,1,Yes - Board-approved policy with owner
AR_161,2,Partial - Policy without board approval
AR_161,3,No - No AI policy
AR_161,4,Not Applicable - No AI usage
AR_162,1,Yes - Comprehensive coverage across organization
AR_162,2,Partial - Partial lifecycle coverage
AR_162,3,No - Limited or no coverage
AR_162,4,Not Applicable - No AI policy
AR_163,1,Yes - Formal enforcement mechanisms effective
AR_163,2,Partial - Mechanisms exist but inconsistent
AR_163,3,No - No enforcement mechanisms
AR_163,4,Not Applicable - No AI policy
AR_164,1,Yes - Reviewed within past 12 months
AR_164,2,Partial - Reviewed 12-24 months ago
AR_164,3,No - Over 24 months or never
AR_164,4,Not Applicable - No AI policy
AR_165,1,Yes - Formal update process exists
AR_165,2,Partial - Informal update process
AR_165,3,No - No update process
AR_165,4,Not Applicable - No AI policy
AR_166,1,1-2 (Low/Limited)
AR_166,2,3 (Moderate)
AR_166,3,4-5 (High/Strong)
AR_166,4,Not Applicable
AR_167,1,Yes - Quarterly board briefings minuted
AR_167,2,Partial - Annual or informal briefings
AR_167,3,No - No board briefings
AR_167,4,Not Applicable - No AI portfolio
AR_168,1,Yes - Roles documented and assigned
AR_168,2,Partial - Roles documented not assigned
AR_168,3,No - No role documentation
AR_168,4,Not Applicable - No AI systems
AR_169,1,1-2 (Low/Limited)
AR_169,2,3 (Moderate)
AR_169,3,4-5 (High/Strong)
AR_169,4,Not Applicable
AR_170,1,Yes - Access controls for kill-switch enforced
AR_170,2,Partial - Manual authorization process
AR_170,3,No - No access controls
AR_170,4,Not Applicable - No kill-switch mechanism
AR_171,1,Yes - Formal competence assessment required
AR_171,2,Partial - Informal assessment only
AR_171,3,No - No competence assessment
AR_171,4,Not Applicable - No AI roles
AR_172,1,Yes - Auto routing to incident mgmt
AR_172,2,Partial - Manual incident reporting
AR_172,3,No - No incident routing
AR_172,4,Not Applicable - No AI safety monitoring
AR_173,1,Yes - Full segregation of duties
AR_173,2,Partial - Limited segregation
AR_173,3,No - No segregation
AR_173,4,Not Applicable - No approval process
AR_174,1,1-2 (Low/Limited)
AR_174,2,3 (Moderate)
AR_174,3,4-5 (High/Strong)
AR_174,4,Not Applicable
AR_175,1,1-2 (Low/Limited)
AR_175,2,3 (Moderate)
