QID,Question_Group
AR_62,"Question Group 028: Hardening AI infrastructure, APIs, Identity and Access Management (IAM), and container orchestrations using Infrastructure-as-Code (IaC), secret management, and zero-day patching."
AR_63,"Question Group 037: Architecting advanced AI data security, including pre-ingestion PII redaction buffers, Data Loss Prevention (DLP), HYOK encryption, and identity-based decryption."
AR_64,"Question Group 015: Configuring continuous live monitoring for model drift, concept drift, reasoning drift, and automated business-logic anomalies (pricing, margin erosion)."
AR_65,"Question Group 036: Automating data ingestion rights verification, cryptographic lineage tracking, schema validation, and enforcing WORM storage for immutable training sets."
AR_66,"Question Group 035: Executing AI FinOps, configuring granular token-based rate limiting, managing cloud compute cost circuit breakers, and enforcing global utilization quotas."
AR_67,"Question Group 015: Configuring continuous live monitoring for model drift, concept drift, reasoning drift, and automated business-logic anomalies (pricing, margin erosion)."
AR_68,"Question Group 026: Architecting, governing, and assessing complex multi-agent architectures, model chaining dependencies, and autonomous systems-of-systems pipelines."
AR_69,"Question Group 007: Architecting secure MLOps pipelines, enforcing automated lifecycle stage-gates, and executing rigorous IT change management and release validation protocols."
AR_70,"Question Group 002: Provisioning and monitoring AI compute infrastructure to enforce SLA latency, ESG sustainability, FinOps limits, and BCDR resilience."
AR_71,"Question Group 041: Hardening physical AI compute hardware, verifying GPU/TPU cryptographic firmware signatures at boot, and mitigating physical side-channel data extraction attacks (e.g., power-gating/GATEBLEED)."
AR_72,"Question Group 031: Executing formal cost-benefit evaluations, financial ROI modeling, and risk-adjusted efficiency analyses prior to material AI procurement or strategic capital investment."
AR_73,"Question Group 002: Provisioning and monitoring AI compute infrastructure to enforce SLA latency, ESG sustainability, FinOps limits, and BCDR resilience."
AR_74,"Question Group 041: Hardening physical AI compute hardware, verifying GPU/TPU cryptographic firmware signatures at boot, and mitigating physical side-channel data extraction attacks (e.g., power-gating/GATEBLEED)."
AR_75,"Question Group 002: Provisioning and monitoring AI compute infrastructure to enforce SLA latency, ESG sustainability, FinOps limits, and BCDR resilience."
AR_76,"Question Group 041: Hardening physical AI compute hardware, verifying GPU/TPU cryptographic firmware signatures at boot, and mitigating physical side-channel data extraction attacks (e.g., power-gating/GATEBLEED)."
AR_77,"Question Group 035: Executing AI FinOps, configuring granular token-based rate limiting, managing cloud compute cost circuit breakers, and enforcing global utilization quotas."
AR_78,"Question Group 002: Provisioning and monitoring AI compute infrastructure to enforce SLA latency, ESG sustainability, FinOps limits, and BCDR resilience."
AR_79,"Question Group 002: Provisioning and monitoring AI compute infrastructure to enforce SLA latency, ESG sustainability, FinOps limits, and BCDR resilience."
AR_80,"Question Group 002: Provisioning and monitoring AI compute infrastructure to enforce SLA latency, ESG sustainability, FinOps limits, and BCDR resilience."
AR_81,"Question Group 002: Provisioning and monitoring AI compute infrastructure to enforce SLA latency, ESG sustainability, FinOps limits, and BCDR resilience."
AR_82,"Question Group 039: Governing AI data catalogs, persistent metadata tagging, automated PII discovery, and human-in-the-loop data stewardship workflows."
AR_83,"Question Group 037: Architecting advanced AI data security, including pre-ingestion PII redaction buffers, Data Loss Prevention (DLP), HYOK encryption, and identity-based decryption."
AR_84,"Question Group 002: Provisioning and monitoring AI compute infrastructure to enforce SLA latency, ESG sustainability, FinOps limits, and BCDR resilience."
AR_85,"Question Group 002: Provisioning and monitoring AI compute infrastructure to enforce SLA latency, ESG sustainability, FinOps limits, and BCDR resilience."
AR_86,"Question Group 028: Hardening AI infrastructure, APIs, Identity and Access Management (IAM), and container orchestrations using Infrastructure-as-Code (IaC), secret management, and zero-day patching."
AR_87,"Question Group 028: Hardening AI infrastructure, APIs, Identity and Access Management (IAM), and container orchestrations using Infrastructure-as-Code (IaC), secret management, and zero-day patching."
AR_88,"Question Group 028: Hardening AI infrastructure, APIs, Identity and Access Management (IAM), and container orchestrations using Infrastructure-as-Code (IaC), secret management, and zero-day patching."
AR_89,"Question Group 002: Provisioning and monitoring AI compute infrastructure to enforce SLA latency, ESG sustainability, FinOps limits, and BCDR resilience."
AR_90,"Question Group 041: Hardening physical AI compute hardware, verifying GPU/TPU cryptographic firmware signatures at boot, and mitigating physical side-channel data extraction attacks (e.g., power-gating/GATEBLEED)."
AR_91,"Question Group 007: Architecting secure MLOps pipelines, enforcing automated lifecycle stage-gates, and executing rigorous IT change management and release validation protocols."
AR_92,"Question Group 033: Governing autonomous AI agent identity federation, scoped API permissions, credential brokering, and dynamic context-aware access controls."
AR_93,"Question Group 008: Governing the master AI system inventory, compliance records, version histories, and regulated record retention."
AR_94,"Question Group 028: Hardening AI infrastructure, APIs, Identity and Access Management (IAM), and container orchestrations using Infrastructure-as-Code (IaC), secret management, and zero-day patching."
AR_95,"Question Group 017: Conducting red-teaming, adversarial stress-testing (RAG poisoning, model inversion/privacy attacks), and data poisoning defense."
AR_96,"Question Group 016: Engineering and validating GenAI prompts, RAG corpora, runtime guardrails, and indirect prompt injection defenses."
AR_97,"Question Group 017: Conducting red-teaming, adversarial stress-testing (RAG poisoning, model inversion/privacy attacks), and data poisoning defense."
AR_98,"Question Group 037: Architecting advanced AI data security, including pre-ingestion PII redaction buffers, Data Loss Prevention (DLP), HYOK encryption, and identity-based decryption."
AR_99,"Question Group 039: Governing AI data catalogs, persistent metadata tagging, automated PII discovery, and human-in-the-loop data stewardship workflows."
AR_100,"Question Group 040: Architecting dynamic, Zero Trust Data Access Controls (DAC) that continuously evaluate user intent, behavioral risk levels, and contextual heuristics rather than static roles."
AR_101,"Question Group 040: Architecting dynamic, Zero Trust Data Access Controls (DAC) that continuously evaluate user intent, behavioral risk levels, and contextual heuristics rather than static roles."
AR_102,"Question Group 016: Engineering and validating GenAI prompts, RAG corpora, runtime guardrails, and indirect prompt injection defenses."
AR_103,"Question Group 034: Deploying and managing runtime input/output guardrails, semantic intent classifiers, prompt injection defenses, and safe-failure degradation architectures."
AR_104,"Question Group 017: Conducting red-teaming, adversarial stress-testing (RAG poisoning, model inversion/privacy attacks), and data poisoning defense."
AR_105,"Question Group 033: Governing autonomous AI agent identity federation, scoped API permissions, credential brokering, and dynamic context-aware access controls."
AR_106,"Question Group 037: Architecting advanced AI data security, including pre-ingestion PII redaction buffers, Data Loss Prevention (DLP), HYOK encryption, and identity-based decryption."
AR_107,"Question Group 040: Architecting dynamic, Zero Trust Data Access Controls (DAC) that continuously evaluate user intent, behavioral risk levels, and contextual heuristics rather than static roles."
AR_108,"Question Group 040: Architecting dynamic, Zero Trust Data Access Controls (DAC) that continuously evaluate user intent, behavioral risk levels, and contextual heuristics rather than static roles."
AR_109,"Question Group 033: Governing autonomous AI agent identity federation, scoped API permissions, credential brokering, and dynamic context-aware access controls."
AR_110,"Question Group 037: Architecting advanced AI data security, including pre-ingestion PII redaction buffers, Data Loss Prevention (DLP), HYOK encryption, and identity-based decryption."
AR_111,"Question Group 035: Executing AI FinOps, configuring granular token-based rate limiting, managing cloud compute cost circuit breakers, and enforcing global utilization quotas."
AR_112,"Question Group 037: Architecting advanced AI data security, including pre-ingestion PII redaction buffers, Data Loss Prevention (DLP), HYOK encryption, and identity-based decryption."
AR_113,"Question Group 036: Automating data ingestion rights verification, cryptographic lineage tracking, schema validation, and enforcing WORM storage for immutable training sets."
AR_114,"Question Group 037: Architecting advanced AI data security, including pre-ingestion PII redaction buffers, Data Loss Prevention (DLP), HYOK encryption, and identity-based decryption."
AR_115,"Question Group 035: Executing AI FinOps, configuring granular token-based rate limiting, managing cloud compute cost circuit breakers, and enforcing global utilization quotas."
AR_116,"Question Group 007: Architecting secure MLOps pipelines, enforcing automated lifecycle stage-gates, and executing rigorous IT change management and release validation protocols."
AR_117,"Question Group 026: Architecting, governing, and assessing complex multi-agent architectures, model chaining dependencies, and autonomous systems-of-systems pipelines."
AR_118,"Question Group 004: Designing technical safeguards, advisory-gating, human override protocols (HOVER), and fail-safe architectures for high-stakes actions (e.g., financial controls, legal drafting)."
AR_119,"Question Group 018: Executing formal end-of-life decommissioning procedures for AI systems, including downstream dependency mapping, secure data disposal, and API endpoint revocation."
AR_120,"Question Group 002: Provisioning and monitoring AI compute infrastructure to enforce SLA latency, ESG sustainability, FinOps limits, and BCDR resilience."
AR_121,"Question Group 042: Governing foundational enterprise cloud architecture, establishing centralized policy frameworks (landing zones), and formalizing resource accountability, risk escalation, and legacy compute lifecycle management."
AR_122,"Question Group 042: Governing foundational enterprise cloud architecture, establishing centralized policy frameworks (landing zones), and formalizing resource accountability, risk escalation, and legacy compute lifecycle management."
AR_123,"Question Group 042: Governing foundational enterprise cloud architecture, establishing centralized policy frameworks (landing zones), and formalizing resource accountability, risk escalation, and legacy compute lifecycle management."
AR_124,"Question Group 001: Governing Third-Party Risk Management (TPRM) for AI vendors, including concentration thresholds, contractual SLAs, sub-processor mapping, and exit strategies."
AR_125,"Question Group 042: Governing foundational enterprise cloud architecture, establishing centralized policy frameworks (landing zones), and formalizing resource accountability, risk escalation, and legacy compute lifecycle management."
AR_126,"Question Group 002: Provisioning and monitoring AI compute infrastructure to enforce SLA latency, ESG sustainability, FinOps limits, and BCDR resilience."
AR_127,"Question Group 028: Hardening AI infrastructure, APIs, Identity and Access Management (IAM), and container orchestrations using Infrastructure-as-Code (IaC), secret management, and zero-day patching."
AR_128,"Question Group 007: Architecting secure MLOps pipelines, enforcing automated lifecycle stage-gates, and executing rigorous IT change management and release validation protocols."
AR_129,"Question Group 002: Provisioning and monitoring AI compute infrastructure to enforce SLA latency, ESG sustainability, FinOps limits, and BCDR resilience."
AR_130,"Question Group 042: Governing foundational enterprise cloud architecture, establishing centralized policy frameworks (landing zones), and formalizing resource accountability, risk escalation, and legacy compute lifecycle management."
AR_131,"Question Group 037: Architecting advanced AI data security, including pre-ingestion PII redaction buffers, Data Loss Prevention (DLP), HYOK encryption, and identity-based decryption."
AR_132,"Question Group 002: Provisioning and monitoring AI compute infrastructure to enforce SLA latency, ESG sustainability, FinOps limits, and BCDR resilience."
AR_133,"Question Group 002: Provisioning and monitoring AI compute infrastructure to enforce SLA latency, ESG sustainability, FinOps limits, and BCDR resilience."
AR_134,"Question Group 039: Governing AI data catalogs, persistent metadata tagging, automated PII discovery, and human-in-the-loop data stewardship workflows."
AR_135,"Question Group 008: Governing the master AI system inventory, compliance records, version histories, and regulated record retention."
AR_136,"Question Group 028: Hardening AI infrastructure, APIs, Identity and Access Management (IAM), and container orchestrations using Infrastructure-as-Code (IaC), secret management, and zero-day patching."
AR_137,"Question Group 043: Executing foundational enterprise network security, traffic management (DDoS), comprehensive visibility (IDS/IPS, flow logging), and securing external/hybrid connectivity (Mutual TLS, VPN, SD-WAN)."
AR_138,"Question Group 043: Executing foundational enterprise network security, traffic management (DDoS), comprehensive visibility (IDS/IPS, flow logging), and securing external/hybrid connectivity (Mutual TLS, VPN, SD-WAN)."
AR_139,"Question Group 043: Executing foundational enterprise network security, traffic management (DDoS), comprehensive visibility (IDS/IPS, flow logging), and securing external/hybrid connectivity (Mutual TLS, VPN, SD-WAN)."
AR_140,"Question Group 043: Executing foundational enterprise network security, traffic management (DDoS), comprehensive visibility (IDS/IPS, flow logging), and securing external/hybrid connectivity (Mutual TLS, VPN, SD-WAN)."
AR_141,"Question Group 044: Governing foundational enterprise Identity and Access Management (IAM), Privileged Access Management (PAM), automated lifecycle provisioning, and phishing-resistant MFA architectures."
AR_142,"Question Group 044: Governing foundational enterprise Identity and Access Management (IAM), Privileged Access Management (PAM), automated lifecycle provisioning, and phishing-resistant MFA architectures."
AR_143,"Question Group 044: Governing foundational enterprise Identity and Access Management (IAM), Privileged Access Management (PAM), automated lifecycle provisioning, and phishing-resistant MFA architectures."
AR_144,"Question Group 044: Governing foundational enterprise Identity and Access Management (IAM), Privileged Access Management (PAM), automated lifecycle provisioning, and phishing-resistant MFA architectures."
AR_145,"Question Group 044: Governing foundational enterprise Identity and Access Management (IAM), Privileged Access Management (PAM), automated lifecycle provisioning, and phishing-resistant MFA architectures."
AR_146,"Question Group 045: Executing foundational IT Operations (ITOps), enterprise incident management (war-rooms), configuration drift governance, and continuous operational maturity programs."
AR_147,"Question Group 045: Executing foundational IT Operations (ITOps), enterprise incident management (war-rooms), configuration drift governance, and continuous operational maturity programs."
AR_148,"Question Group 045: Executing foundational IT Operations (ITOps), enterprise incident management (war-rooms), configuration drift governance, and continuous operational maturity programs."
AR_149,"Question Group 008: Governing the master AI system inventory, compliance records, version histories, and regulated record retention."
AR_150,"Question Group 045: Executing foundational IT Operations (ITOps), enterprise incident management (war-rooms), configuration drift governance, and continuous operational maturity programs."
AR_151,"Question Group 002: Provisioning and monitoring AI compute infrastructure to enforce SLA latency, ESG sustainability, FinOps limits, and BCDR resilience."
AR_152,"Question Group 002: Provisioning and monitoring AI compute infrastructure to enforce SLA latency, ESG sustainability, FinOps limits, and BCDR resilience."
AR_153,"Question Group 002: Provisioning and monitoring AI compute infrastructure to enforce SLA latency, ESG sustainability, FinOps limits, and BCDR resilience."
AR_154,"Question Group 045: Executing foundational IT Operations (ITOps), enterprise incident management (war-rooms), configuration drift governance, and continuous operational maturity programs."
AR_155,"Question Group 043: Executing foundational enterprise network security, traffic management (DDoS), comprehensive visibility (IDS/IPS, flow logging), and securing external/hybrid connectivity (Mutual TLS, VPN, SD-WAN)."
AR_156,"Question Group 035: Executing AI FinOps, configuring granular token-based rate limiting, managing cloud compute cost circuit breakers, and enforcing global utilization quotas."
AR_157,"Question Group 035: Executing AI FinOps, configuring granular token-based rate limiting, managing cloud compute cost circuit breakers, and enforcing global utilization quotas."
AR_158,"Question Group 035: Executing AI FinOps, configuring granular token-based rate limiting, managing cloud compute cost circuit breakers, and enforcing global utilization quotas."
AR_159,"Question Group 035: Executing AI FinOps, configuring granular token-based rate limiting, managing cloud compute cost circuit breakers, and enforcing global utilization quotas."
AR_160,"Question Group 001: Governing Third-Party Risk Management (TPRM) for AI vendors, including concentration thresholds, contractual SLAs, sub-processor mapping, and exit strategies."
AR_161,"Question Group 046: Governing the master Corporate AI Policy, Board-level approval cycles, and cross-functional lifecycle compliance."
AR_162,"Question Group 046: Governing the master Corporate AI Policy, Board-level approval cycles, and cross-functional lifecycle compliance."
AR_163,"Question Group 046: Governing the master Corporate AI Policy, Board-level approval cycles, and cross-functional lifecycle compliance."
AR_164,"Question Group 046: Governing the master Corporate AI Policy, Board-level approval cycles, and cross-functional lifecycle compliance."
AR_165,"Question Group 046: Governing the master Corporate AI Policy, Board-level approval cycles, and cross-functional lifecycle compliance."
AR_166,"Question Group 047: Designing and mandating enterprise-wide AI literacy, policy awareness training, and role-specific competency assessments for internal employees and third-party contractors."
AR_167,"Question Group 003: Structuring the AI organization, governing personnel, RACI documentation, and chartering Board-level oversight."
AR_168,"Question Group 003: Structuring the AI organization, governing personnel, RACI documentation, and chartering Board-level oversight."
AR_169,"Question Group 003: Structuring the AI organization, governing personnel, RACI documentation, and chartering Board-level oversight."
AR_170,"Question Group 004: Designing technical safeguards, advisory-gating, human override protocols (HOVER), and fail-safe architectures for high-stakes actions (e.g., financial controls, legal drafting)."
AR_171,"Question Group 047: Designing and mandating enterprise-wide AI literacy, policy awareness training, and role-specific competency assessments for internal employees and third-party contractors."
AR_172,"Question Group 022: Executing AI software incident playbooks, severity escalations, and mandatory regulatory reporting."
AR_173,"Question Group 003: Structuring the AI organization, governing personnel, RACI documentation, and chartering Board-level oversight."
AR_174,"Question Group 003: Structuring the AI organization, governing personnel, RACI documentation, and chartering Board-level oversight."
AR_175,"Question Group 003: Structuring the AI organization, governing personnel, RACI documentation, and chartering Board-level oversight."
AR_176,"Question Group 003: Structuring the AI organization, governing personnel, RACI documentation, and chartering Board-level oversight."
AR_177,"Question Group 022: Executing AI software incident playbooks, severity escalations, and mandatory regulatory reporting."
AR_178,"Question Group 003: Structuring the AI organization, governing personnel, RACI documentation, and chartering Board-level oversight."
AR_179,"Question Group 008: Governing the master AI system inventory, compliance records, version histories, and regulated record retention."
AR_180,"Question Group 003: Structuring the AI organization, governing personnel, RACI documentation, and chartering Board-level oversight."
AR_181,"Question Group 003: Structuring the AI organization, governing personnel, RACI documentation, and chartering Board-level oversight."
AR_182,"Question Group 003: Structuring the AI organization, governing personnel, RACI documentation, and chartering Board-level oversight."
AR_183,"Question Group 008: Governing the master AI system inventory, compliance records, version histories, and regulated record retention."
AR_184,"Question Group 008: Governing the master AI system inventory, compliance records, version histories, and regulated record retention."
AR_185,"Question Group 008: Governing the master AI system inventory, compliance records, version histories, and regulated record retention."
AR_186,"Question Group 008: Governing the master AI system inventory, compliance records, version histories, and regulated record retention."
AR_187,"Question Group 018: Executing formal end-of-life decommissioning procedures for AI systems, including downstream dependency mapping, secure data disposal, and API endpoint revocation."
AR_188,"Question Group 013: Governing AI training pipelines to ensure cryptographic provenance, validate synthetic data, and manage schema drift."
AR_189,"Question Group 039: Governing AI data catalogs, persistent metadata tagging, automated PII discovery, and human-in-the-loop data stewardship workflows."
AR_190,"Question Group 038: Auditing feature engineering pipelines to strictly isolate transformations, prevent data leakage, verify fairness representations, and test embedding reversibility."
AR_191,"Question Group 039: Governing AI data catalogs, persistent metadata tagging, automated PII discovery, and human-in-the-loop data stewardship workflows."
AR_192,"Question Group 008: Governing the master AI system inventory, compliance records, version histories, and regulated record retention."
AR_193,"Question Group 013: Governing AI training pipelines to ensure cryptographic provenance, validate synthetic data, and manage schema drift."
AR_194,"Question Group 001: Governing Third-Party Risk Management (TPRM) for AI vendors, including concentration thresholds, contractual SLAs, sub-processor mapping, and exit strategies."
AR_195,"Question Group 008: Governing the master AI system inventory, compliance records, version histories, and regulated record retention."
AR_196,"Question Group 008: Governing the master AI system inventory, compliance records, version histories, and regulated record retention."
AR_197,"Question Group 050: Architecting technical privacy controls, including pre-ingestion PII redaction buffers, data minimization, and geofencing."
AR_198,"Question Group 028: Hardening AI infrastructure, APIs, Identity and Access Management (IAM), and container orchestrations using Infrastructure-as-Code (IaC), secret management, and zero-day patching."
AR_199,"Question Group 023: Governing AI intellectual property (IP) rights, including training data licensing, output ownership, open-source code compliance, and maintaining foundation model registries."
AR_200,"Question Group 001: Governing Third-Party Risk Management (TPRM) for AI vendors, including concentration thresholds, contractual SLAs, sub-processor mapping, and exit strategies."
AR_201,"Question Group 002: Provisioning and monitoring AI compute infrastructure to enforce SLA latency, ESG sustainability, FinOps limits, and BCDR resilience."
AR_202,"Question Group 001: Governing Third-Party Risk Management (TPRM) for AI vendors, including concentration thresholds, contractual SLAs, sub-processor mapping, and exit strategies."
AR_203,"Question Group 002: Provisioning and monitoring AI compute infrastructure to enforce SLA latency, ESG sustainability, FinOps limits, and BCDR resilience."
AR_204,"Question Group 002: Provisioning and monitoring AI compute infrastructure to enforce SLA latency, ESG sustainability, FinOps limits, and BCDR resilience."
AR_205,"Question Group 002: Provisioning and monitoring AI compute infrastructure to enforce SLA latency, ESG sustainability, FinOps limits, and BCDR resilience."
AR_206,"Question Group 003: Structuring the AI organization, governing personnel, RACI documentation, and chartering Board-level oversight."
AR_207,"Question Group 003: Structuring the AI organization, governing personnel, RACI documentation, and chartering Board-level oversight."
AR_208,"Question Group 004: Designing technical safeguards, advisory-gating, human override protocols (HOVER), and fail-safe architectures for high-stakes actions (e.g., financial controls, legal drafting)."
AR_209,"Question Group 003: Structuring the AI organization, governing personnel, RACI documentation, and chartering Board-level oversight."
AR_210,"Question Group 003: Structuring the AI organization, governing personnel, RACI documentation, and chartering Board-level oversight."
AR_211,"Question Group 003: Structuring the AI organization, governing personnel, RACI documentation, and chartering Board-level oversight."
AR_212,"Question Group 007: Architecting secure MLOps pipelines, enforcing automated lifecycle stage-gates, and executing rigorous IT change management and release validation protocols."
AR_213,"Question Group 005: Defining formal intended use cases, establishing out-of-scope boundaries, and executing tiered, multidimensional AI Impact Assessments (AIIA) across the lifecycle."
AR_214,"Question Group 005: Defining formal intended use cases, establishing out-of-scope boundaries, and executing tiered, multidimensional AI Impact Assessments (AIIA) across the lifecycle."
AR_215,"Question Group 005: Defining formal intended use cases, establishing out-of-scope boundaries, and executing tiered, multidimensional AI Impact Assessments (AIIA) across the lifecycle."
